model,a1,a2,a3
10_1.0_1_1,"Mean: 0.208, Std Dev: 0.0852","Mean: 0.2017, Std Dev: 0.0817","Mean: 0.2011, Std Dev: 0.0816"
10_1.0_1_2,"Mean: 0.2077, Std Dev: 0.0857","Mean: 0.2015, Std Dev: 0.0817","Mean: 0.2011, Std Dev: 0.0816"
10_1.0_1_3,"Mean: 0.2086, Std Dev: 0.0861","Mean: 0.2015, Std Dev: 0.0817","Mean: 0.2011, Std Dev: 0.0816"
10_1.0_2_1,"Mean: 0.2078, Std Dev: 0.0856","Mean: 0.2015, Std Dev: 0.0817","Mean: 0.2011, Std Dev: 0.0816"
10_1.0_2_2,"Mean: 0.2083, Std Dev: 0.0868","Mean: 0.2014, Std Dev: 0.0818","Mean: 0.2011, Std Dev: 0.0816"
10_1.0_2_3,"Mean: 0.208, Std Dev: 0.0862","Mean: 0.2015, Std Dev: 0.0817","Mean: 0.2011, Std Dev: 0.0816"
10_1.0_3_1,"Mean: 0.208, Std Dev: 0.0862","Mean: 0.2013, Std Dev: 0.0816","Mean: 0.2011, Std Dev: 0.0816"
10_1.0_3_2,"Mean: 0.2078, Std Dev: 0.0856","Mean: 0.2015, Std Dev: 0.0817","Mean: 0.2011, Std Dev: 0.0816"
10_1.0_3_3,"Mean: 0.2082, Std Dev: 0.0863","Mean: 0.2014, Std Dev: 0.0818","Mean: 0.2011, Std Dev: 0.0816"
