model,a1,a2,a3
10_1.0_1_1,"Mean: 0.5882, Std Dev: 0.1066","Mean: 0.4081, Std Dev: 0.0834","Mean: 0.3025, Std Dev: 0.0807"
10_1.0_1_2,"Mean: 0.6111, Std Dev: 0.1105","Mean: 0.4139, Std Dev: 0.0863","Mean: 0.3025, Std Dev: 0.0807"
10_1.0_1_3,"Mean: 0.6129, Std Dev: 0.1098","Mean: 0.4147, Std Dev: 0.085","Mean: 0.3025, Std Dev: 0.0807"
10_1.0_2_1,"Mean: 0.5778, Std Dev: 0.1055","Mean: 0.4071, Std Dev: 0.0829","Mean: 0.3025, Std Dev: 0.0807"
10_1.0_2_2,"Mean: 0.5824, Std Dev: 0.1054","Mean: 0.4077, Std Dev: 0.0834","Mean: 0.3026, Std Dev: 0.0806"
10_1.0_2_3,"Mean: 0.5827, Std Dev: 0.1034","Mean: 0.4071, Std Dev: 0.0823","Mean: 0.3025, Std Dev: 0.0807"
10_1.0_3_1,"Mean: 0.5836, Std Dev: 0.1044","Mean: 0.4084, Std Dev: 0.0829","Mean: 0.3025, Std Dev: 0.0807"
10_1.0_3_2,"Mean: 0.5828, Std Dev: 0.1023","Mean: 0.408, Std Dev: 0.0826","Mean: 0.3026, Std Dev: 0.0806"
10_1.0_3_3,"Mean: 0.5771, Std Dev: 0.1014","Mean: 0.4072, Std Dev: 0.0819","Mean: 0.3026, Std Dev: 0.0806"
