model,a1,a2,a3
50_1.0_1_1,"Mean: 0.1375, Std Dev: 0.0773","Mean: 0.0619, Std Dev: 0.0179","Mean: 0.0406, Std Dev: 0.0163"
50_1.0_1_2,"Mean: 0.1432, Std Dev: 0.0802","Mean: 0.0624, Std Dev: 0.0186","Mean: 0.0406, Std Dev: 0.0163"
50_1.0_1_3,"Mean: 0.1456, Std Dev: 0.084","Mean: 0.0624, Std Dev: 0.019","Mean: 0.0406, Std Dev: 0.0163"
50_1.0_2_1,"Mean: 0.1536, Std Dev: 0.089","Mean: 0.0632, Std Dev: 0.0193","Mean: 0.0406, Std Dev: 0.0163"
50_1.0_2_2,"Mean: 0.1458, Std Dev: 0.0853","Mean: 0.0627, Std Dev: 0.019","Mean: 0.0406, Std Dev: 0.0163"
50_1.0_2_3,"Mean: 0.1463, Std Dev: 0.0862","Mean: 0.0624, Std Dev: 0.0191","Mean: 0.0406, Std Dev: 0.0163"
50_1.0_3_1,"Mean: 0.1497, Std Dev: 0.0881","Mean: 0.0629, Std Dev: 0.0193","Mean: 0.0406, Std Dev: 0.0163"
50_1.0_3_2,"Mean: 0.1555, Std Dev: 0.092","Mean: 0.0623, Std Dev: 0.0181","Mean: 0.0406, Std Dev: 0.0163"
50_1.0_3_3,"Mean: 0.1522, Std Dev: 0.0911","Mean: 0.0627, Std Dev: 0.0193","Mean: 0.0406, Std Dev: 0.0163"
