model,a1,a2,a3
25_1.0_1_1,"Mean: 0.247, Std Dev: 0.1044","Mean: 0.1224, Std Dev: 0.035","Mean: 0.0797, Std Dev: 0.0327"
25_1.0_1_2,"Mean: 0.2474, Std Dev: 0.1035","Mean: 0.1222, Std Dev: 0.0355","Mean: 0.0797, Std Dev: 0.0327"
25_1.0_1_3,"Mean: 0.2492, Std Dev: 0.1064","Mean: 0.123, Std Dev: 0.0358","Mean: 0.0797, Std Dev: 0.0327"
25_1.0_2_1,"Mean: 0.2514, Std Dev: 0.1065","Mean: 0.1229, Std Dev: 0.0369","Mean: 0.0797, Std Dev: 0.0327"
25_1.0_2_2,"Mean: 0.269, Std Dev: 0.1197","Mean: 0.123, Std Dev: 0.0362","Mean: 0.0797, Std Dev: 0.0327"
25_1.0_2_3,"Mean: 0.2507, Std Dev: 0.1076","Mean: 0.1225, Std Dev: 0.0364","Mean: 0.0797, Std Dev: 0.0327"
25_1.0_3_1,"Mean: 0.258, Std Dev: 0.1092","Mean: 0.1227, Std Dev: 0.0363","Mean: 0.0797, Std Dev: 0.0327"
25_1.0_3_2,"Mean: 0.2471, Std Dev: 0.1042","Mean: 0.1226, Std Dev: 0.0364","Mean: 0.0797, Std Dev: 0.0327"
25_1.0_3_3,"Mean: 0.2611, Std Dev: 0.1159","Mean: 0.123, Std Dev: 0.0362","Mean: 0.0797, Std Dev: 0.0327"
