model,a1,a2,a3
10_1.0_1_1,"Mean: 0.3445, Std Dev: 0.108","Mean: 0.1978, Std Dev: 0.0806","Mean: 0.1978, Std Dev: 0.0806"
10_1.0_1_2,"Mean: 0.3535, Std Dev: 0.1171","Mean: 0.1978, Std Dev: 0.0806","Mean: 0.1978, Std Dev: 0.0806"
10_1.0_1_3,"Mean: 0.3422, Std Dev: 0.1081","Mean: 0.1978, Std Dev: 0.0806","Mean: 0.1978, Std Dev: 0.0806"
10_1.0_2_1,"Mean: 0.3413, Std Dev: 0.1061","Mean: 0.1978, Std Dev: 0.0806","Mean: 0.1978, Std Dev: 0.0806"
10_1.0_2_2,"Mean: 0.3427, Std Dev: 0.1074","Mean: 0.1978, Std Dev: 0.0806","Mean: 0.1978, Std Dev: 0.0806"
10_1.0_2_3,"Mean: 0.3432, Std Dev: 0.1105","Mean: 0.1978, Std Dev: 0.0806","Mean: 0.1978, Std Dev: 0.0806"
10_1.0_3_1,"Mean: 0.3463, Std Dev: 0.1124","Mean: 0.1978, Std Dev: 0.0806","Mean: 0.1978, Std Dev: 0.0806"
10_1.0_3_2,"Mean: 0.3433, Std Dev: 0.1126","Mean: 0.1978, Std Dev: 0.0806","Mean: 0.1978, Std Dev: 0.0806"
10_1.0_3_3,"Mean: 0.3455, Std Dev: 0.1141","Mean: 0.1978, Std Dev: 0.0806","Mean: 0.1978, Std Dev: 0.0806"
