model,a1,a2,a3
50_1.0_1_1,"Mean: 0.2427, Std Dev: 0.1278","Mean: 0.097, Std Dev: 0.0352","Mean: 0.0598, Std Dev: 0.0165"
50_1.0_1_2,"Mean: 0.2384, Std Dev: 0.1237","Mean: 0.0977, Std Dev: 0.0342","Mean: 0.0599, Std Dev: 0.0166"
50_1.0_1_3,"Mean: 0.2257, Std Dev: 0.1162","Mean: 0.096, Std Dev: 0.0342","Mean: 0.0598, Std Dev: 0.0165"
50_1.0_2_1,"Mean: 0.224, Std Dev: 0.1118","Mean: 0.0967, Std Dev: 0.0344","Mean: 0.0601, Std Dev: 0.0168"
50_1.0_2_2,"Mean: 0.2334, Std Dev: 0.1217","Mean: 0.0965, Std Dev: 0.0329","Mean: 0.06, Std Dev: 0.017"
50_1.0_2_3,"Mean: 0.2296, Std Dev: 0.1191","Mean: 0.097, Std Dev: 0.0358","Mean: 0.06, Std Dev: 0.0167"
50_1.0_3_1,"Mean: 0.222, Std Dev: 0.1134","Mean: 0.0959, Std Dev: 0.0335","Mean: 0.06, Std Dev: 0.0167"
50_1.0_3_2,"Mean: 0.2281, Std Dev: 0.1178","Mean: 0.0963, Std Dev: 0.0352","Mean: 0.0599, Std Dev: 0.0166"
50_1.0_3_3,"Mean: 0.2362, Std Dev: 0.1242","Mean: 0.0969, Std Dev: 0.0345","Mean: 0.0599, Std Dev: 0.0167"
