model,d1_1,d1_2,d1_3,d2_1,d2_2,d2_3,d3_1,d3_2,d3_3
50_1.0_1_1,"Mean: 0.8827, Std Dev: 0.0688","Mean: 0.521, Std Dev: 0.3185","Mean: 0.1538, Std Dev: 0.2186","Mean: 0.9102, Std Dev: 0.0131","Mean: 0.8005, Std Dev: 0.0644","Mean: 0.6273, Std Dev: 0.1584","Mean: 0.9189, Std Dev: 0.0114","Mean: 0.8311, Std Dev: 0.0259","Mean: 0.7244, Std Dev: 0.0653"
50_1.0_1_2,"Mean: 0.8856, Std Dev: 0.0635","Mean: 0.5461, Std Dev: 0.3152","Mean: 0.1714, Std Dev: 0.2318","Mean: 0.9121, Std Dev: 0.0129","Mean: 0.8047, Std Dev: 0.0561","Mean: 0.6389, Std Dev: 0.1448","Mean: 0.9204, Std Dev: 0.0112","Mean: 0.8339, Std Dev: 0.0253","Mean: 0.7322, Std Dev: 0.0602"
50_1.0_1_3,"Mean: 0.8846, Std Dev: 0.0575","Mean: 0.5534, Std Dev: 0.3074","Mean: 0.1738, Std Dev: 0.2304","Mean: 0.9092, Std Dev: 0.0137","Mean: 0.8005, Std Dev: 0.0531","Mean: 0.6292, Std Dev: 0.1514","Mean: 0.9183, Std Dev: 0.0121","Mean: 0.8285, Std Dev: 0.027","Mean: 0.7241, Std Dev: 0.056"
50_1.0_2_1,"Mean: 0.8823, Std Dev: 0.0683","Mean: 0.5389, Std Dev: 0.3091","Mean: 0.1568, Std Dev: 0.2176","Mean: 0.9091, Std Dev: 0.0143","Mean: 0.7966, Std Dev: 0.0501","Mean: 0.618, Std Dev: 0.156","Mean: 0.9186, Std Dev: 0.0118","Mean: 0.8276, Std Dev: 0.028","Mean: 0.7189, Std Dev: 0.0668"
50_1.0_2_2,"Mean: 0.8806, Std Dev: 0.0737","Mean: 0.5119, Std Dev: 0.3142","Mean: 0.1406, Std Dev: 0.2047","Mean: 0.9084, Std Dev: 0.0147","Mean: 0.7926, Std Dev: 0.0546","Mean: 0.597, Std Dev: 0.1686","Mean: 0.9181, Std Dev: 0.0122","Mean: 0.8261, Std Dev: 0.0288","Mean: 0.7116, Std Dev: 0.0677"
50_1.0_2_3,"Mean: 0.8841, Std Dev: 0.0574","Mean: 0.5255, Std Dev: 0.3161","Mean: 0.153, Std Dev: 0.2146","Mean: 0.909, Std Dev: 0.0144","Mean: 0.7942, Std Dev: 0.0548","Mean: 0.611, Std Dev: 0.1589","Mean: 0.9182, Std Dev: 0.0117","Mean: 0.8258, Std Dev: 0.0286","Mean: 0.7124, Std Dev: 0.0687"
50_1.0_3_1,"Mean: 0.8819, Std Dev: 0.0519","Mean: 0.5021, Std Dev: 0.3137","Mean: 0.1352, Std Dev: 0.1942","Mean: 0.9066, Std Dev: 0.0162","Mean: 0.785, Std Dev: 0.0687","Mean: 0.5875, Std Dev: 0.1772","Mean: 0.9156, Std Dev: 0.0146","Mean: 0.8203, Std Dev: 0.033","Mean: 0.7033, Std Dev: 0.0787"
50_1.0_3_2,"Mean: 0.8809, Std Dev: 0.0689","Mean: 0.5079, Std Dev: 0.3173","Mean: 0.1359, Std Dev: 0.1996","Mean: 0.9086, Std Dev: 0.0148","Mean: 0.7898, Std Dev: 0.0664","Mean: 0.594, Std Dev: 0.1709","Mean: 0.9174, Std Dev: 0.0128","Mean: 0.8251, Std Dev: 0.0347","Mean: 0.7112, Std Dev: 0.0735"
50_1.0_3_3,"Mean: 0.8821, Std Dev: 0.0585","Mean: 0.5248, Std Dev: 0.3111","Mean: 0.1509, Std Dev: 0.2095","Mean: 0.9081, Std Dev: 0.0144","Mean: 0.7917, Std Dev: 0.0626","Mean: 0.6045, Std Dev: 0.1615","Mean: 0.9178, Std Dev: 0.0125","Mean: 0.8244, Std Dev: 0.0303","Mean: 0.7112, Std Dev: 0.07"
