model,d1_1,d1_2,d1_3,d2_1,d2_2,d2_3,d3_1,d3_2,d3_3
25_1.0_1_1,"Mean: 0.8055, Std Dev: 0.0897","Mean: 0.4093, Std Dev: 0.2356","Mean: 0.1394, Std Dev: 0.136","Mean: 0.8587, Std Dev: 0.031","Mean: 0.6768, Std Dev: 0.1038","Mean: 0.4634, Std Dev: 0.1471","Mean: 0.8755, Std Dev: 0.0232","Mean: 0.74, Std Dev: 0.0576","Mean: 0.5962, Std Dev: 0.0948"
25_1.0_1_2,"Mean: 0.8096, Std Dev: 0.0827","Mean: 0.4152, Std Dev: 0.2355","Mean: 0.1362, Std Dev: 0.1336","Mean: 0.8594, Std Dev: 0.0285","Mean: 0.686, Std Dev: 0.0919","Mean: 0.4758, Std Dev: 0.1475","Mean: 0.8774, Std Dev: 0.0235","Mean: 0.7464, Std Dev: 0.0538","Mean: 0.6054, Std Dev: 0.0919"
25_1.0_1_3,"Mean: 0.8139, Std Dev: 0.0752","Mean: 0.433, Std Dev: 0.2374","Mean: 0.1492, Std Dev: 0.1469","Mean: 0.8592, Std Dev: 0.032","Mean: 0.6882, Std Dev: 0.0917","Mean: 0.4808, Std Dev: 0.1447","Mean: 0.8757, Std Dev: 0.0251","Mean: 0.7463, Std Dev: 0.0544","Mean: 0.6068, Std Dev: 0.0915"
25_1.0_2_1,"Mean: 0.8106, Std Dev: 0.0653","Mean: 0.4326, Std Dev: 0.2299","Mean: 0.1465, Std Dev: 0.14","Mean: 0.8596, Std Dev: 0.027","Mean: 0.6853, Std Dev: 0.0872","Mean: 0.4831, Std Dev: 0.1402","Mean: 0.8762, Std Dev: 0.0248","Mean: 0.7429, Std Dev: 0.0553","Mean: 0.6035, Std Dev: 0.0891"
25_1.0_2_2,"Mean: 0.8132, Std Dev: 0.0611","Mean: 0.4365, Std Dev: 0.2316","Mean: 0.1487, Std Dev: 0.1444","Mean: 0.858, Std Dev: 0.0286","Mean: 0.6836, Std Dev: 0.0935","Mean: 0.4826, Std Dev: 0.1426","Mean: 0.8764, Std Dev: 0.0229","Mean: 0.7426, Std Dev: 0.0565","Mean: 0.6033, Std Dev: 0.0924"
25_1.0_2_3,"Mean: 0.8145, Std Dev: 0.0701","Mean: 0.4354, Std Dev: 0.235","Mean: 0.1473, Std Dev: 0.1458","Mean: 0.8596, Std Dev: 0.0279","Mean: 0.6906, Std Dev: 0.0883","Mean: 0.4859, Std Dev: 0.1433","Mean: 0.8784, Std Dev: 0.0231","Mean: 0.7497, Std Dev: 0.0539","Mean: 0.6126, Std Dev: 0.0882"
25_1.0_3_1,"Mean: 0.8114, Std Dev: 0.0662","Mean: 0.4253, Std Dev: 0.2343","Mean: 0.146, Std Dev: 0.1412","Mean: 0.8578, Std Dev: 0.0287","Mean: 0.6818, Std Dev: 0.0922","Mean: 0.4748, Std Dev: 0.1429","Mean: 0.8761, Std Dev: 0.0246","Mean: 0.7424, Std Dev: 0.0564","Mean: 0.6002, Std Dev: 0.0903"
25_1.0_3_2,"Mean: 0.8116, Std Dev: 0.0717","Mean: 0.44, Std Dev: 0.231","Mean: 0.1524, Std Dev: 0.1494","Mean: 0.8572, Std Dev: 0.0288","Mean: 0.6806, Std Dev: 0.0907","Mean: 0.4767, Std Dev: 0.1408","Mean: 0.8746, Std Dev: 0.0248","Mean: 0.7404, Std Dev: 0.0558","Mean: 0.5997, Std Dev: 0.0888"
25_1.0_3_3,"Mean: 0.8115, Std Dev: 0.0752","Mean: 0.4153, Std Dev: 0.2333","Mean: 0.1405, Std Dev: 0.1358","Mean: 0.8574, Std Dev: 0.0291","Mean: 0.6748, Std Dev: 0.0951","Mean: 0.4654, Std Dev: 0.1458","Mean: 0.8748, Std Dev: 0.027","Mean: 0.7384, Std Dev: 0.0616","Mean: 0.5965, Std Dev: 0.0935"
