model,a1,a2,a3
50_1.0_1_1,"Mean: 0.1358, Std Dev: 0.0712","Mean: 0.0618, Std Dev: 0.0178","Mean: 0.0406, Std Dev: 0.0163"
50_1.0_1_2,"Mean: 0.1889, Std Dev: 0.1127","Mean: 0.0648, Std Dev: 0.0211","Mean: 0.0406, Std Dev: 0.0163"
50_1.0_1_3,"Mean: 0.1907, Std Dev: 0.1159","Mean: 0.0646, Std Dev: 0.0209","Mean: 0.0406, Std Dev: 0.0163"
50_1.0_2_1,"Mean: 0.1451, Std Dev: 0.0839","Mean: 0.0622, Std Dev: 0.0182","Mean: 0.0406, Std Dev: 0.0163"
50_1.0_2_2,"Mean: 0.148, Std Dev: 0.0875","Mean: 0.0624, Std Dev: 0.0184","Mean: 0.0406, Std Dev: 0.0163"
50_1.0_2_3,"Mean: 0.1678, Std Dev: 0.106","Mean: 0.0635, Std Dev: 0.0196","Mean: 0.0406, Std Dev: 0.0163"
50_1.0_3_1,"Mean: 0.1475, Std Dev: 0.0829","Mean: 0.0632, Std Dev: 0.0197","Mean: 0.0406, Std Dev: 0.0163"
50_1.0_3_2,"Mean: 0.1427, Std Dev: 0.0815","Mean: 0.0624, Std Dev: 0.0183","Mean: 0.0406, Std Dev: 0.0163"
50_1.0_3_3,"Mean: 0.1467, Std Dev: 0.0844","Mean: 0.0624, Std Dev: 0.018","Mean: 0.0406, Std Dev: 0.0163"
