model,d1_1,d1_2,d1_3,d2_1,d2_2,d2_3,d3_1,d3_2,d3_3
50_1.0_1_1,"Mean: 0.0306, Std Dev: 0.0276","Mean: 0.0208, Std Dev: 0.004","Mean: 0.02, Std Dev: 0.0009","Mean: 0.1187, Std Dev: 0.0847","Mean: 0.0531, Std Dev: 0.0222","Mean: 0.0436, Std Dev: 0.0099","Mean: 0.2266, Std Dev: 0.1166","Mean: 0.1023, Std Dev: 0.0452","Mean: 0.0748, Std Dev: 0.0223"
50_1.0_1_2,"Mean: 0.0307, Std Dev: 0.0301","Mean: 0.0209, Std Dev: 0.0051","Mean: 0.0201, Std Dev: 0.0013","Mean: 0.1163, Std Dev: 0.0884","Mean: 0.0527, Std Dev: 0.0239","Mean: 0.0433, Std Dev: 0.0096","Mean: 0.2217, Std Dev: 0.1122","Mean: 0.1006, Std Dev: 0.0451","Mean: 0.0738, Std Dev: 0.0212"
50_1.0_1_3,"Mean: 0.0311, Std Dev: 0.0276","Mean: 0.021, Std Dev: 0.0047","Mean: 0.0201, Std Dev: 0.0011","Mean: 0.1258, Std Dev: 0.0935","Mean: 0.0537, Std Dev: 0.0254","Mean: 0.043, Std Dev: 0.0091","Mean: 0.2276, Std Dev: 0.1166","Mean: 0.1026, Std Dev: 0.0473","Mean: 0.0743, Std Dev: 0.0217"
50_1.0_2_1,"Mean: 0.0296, Std Dev: 0.0251","Mean: 0.0208, Std Dev: 0.0044","Mean: 0.02, Std Dev: 0.0009","Mean: 0.114, Std Dev: 0.0853","Mean: 0.0519, Std Dev: 0.0214","Mean: 0.0432, Std Dev: 0.0097","Mean: 0.213, Std Dev: 0.1084","Mean: 0.0967, Std Dev: 0.0401","Mean: 0.0723, Std Dev: 0.0191"
50_1.0_2_2,"Mean: 0.0311, Std Dev: 0.0279","Mean: 0.0209, Std Dev: 0.0047","Mean: 0.0201, Std Dev: 0.0011","Mean: 0.1253, Std Dev: 0.0954","Mean: 0.053, Std Dev: 0.0232","Mean: 0.043, Std Dev: 0.0093","Mean: 0.2367, Std Dev: 0.1176","Mean: 0.1029, Std Dev: 0.046","Mean: 0.0746, Std Dev: 0.0227"
50_1.0_2_3,"Mean: 0.0299, Std Dev: 0.0253","Mean: 0.0209, Std Dev: 0.0046","Mean: 0.02, Std Dev: 0.0009","Mean: 0.1137, Std Dev: 0.0838","Mean: 0.052, Std Dev: 0.0202","Mean: 0.0432, Std Dev: 0.0089","Mean: 0.2172, Std Dev: 0.1101","Mean: 0.1001, Std Dev: 0.0447","Mean: 0.0739, Std Dev: 0.0217"
50_1.0_3_1,"Mean: 0.028, Std Dev: 0.021","Mean: 0.0208, Std Dev: 0.0045","Mean: 0.0201, Std Dev: 0.0011","Mean: 0.1081, Std Dev: 0.0763","Mean: 0.0512, Std Dev: 0.0199","Mean: 0.0429, Std Dev: 0.0086","Mean: 0.2018, Std Dev: 0.1058","Mean: 0.0945, Std Dev: 0.0399","Mean: 0.0716, Std Dev: 0.0188"
50_1.0_3_2,"Mean: 0.0301, Std Dev: 0.0262","Mean: 0.0208, Std Dev: 0.0048","Mean: 0.02, Std Dev: 0.0006","Mean: 0.1182, Std Dev: 0.0871","Mean: 0.0524, Std Dev: 0.0199","Mean: 0.0428, Std Dev: 0.0081","Mean: 0.2238, Std Dev: 0.1164","Mean: 0.0994, Std Dev: 0.0431","Mean: 0.0732, Std Dev: 0.0205"
50_1.0_3_3,"Mean: 0.0302, Std Dev: 0.0283","Mean: 0.0208, Std Dev: 0.0047","Mean: 0.0201, Std Dev: 0.0013","Mean: 0.1135, Std Dev: 0.0791","Mean: 0.0514, Std Dev: 0.0192","Mean: 0.0428, Std Dev: 0.0084","Mean: 0.2178, Std Dev: 0.1111","Mean: 0.0984, Std Dev: 0.0436","Mean: 0.0725, Std Dev: 0.0196"
