model,d1_1,d1_2,d1_3,d2_1,d2_2,d2_3,d3_1,d3_2,d3_3
25_1.0_1_1,"Mean: 0.0572, Std Dev: 0.039","Mean: 0.0412, Std Dev: 0.0073","Mean: 0.0401, Std Dev: 0.0022","Mean: 0.1756, Std Dev: 0.0904","Mean: 0.0968, Std Dev: 0.0304","Mean: 0.0838, Std Dev: 0.0133","Mean: 0.2983, Std Dev: 0.1047","Mean: 0.1682, Std Dev: 0.0517","Mean: 0.1365, Std Dev: 0.0277"
25_1.0_1_2,"Mean: 0.0568, Std Dev: 0.0384","Mean: 0.0414, Std Dev: 0.0086","Mean: 0.0401, Std Dev: 0.0018","Mean: 0.1729, Std Dev: 0.0913","Mean: 0.0973, Std Dev: 0.0312","Mean: 0.0843, Std Dev: 0.0135","Mean: 0.2956, Std Dev: 0.1045","Mean: 0.1687, Std Dev: 0.0507","Mean: 0.1361, Std Dev: 0.0273"
25_1.0_1_3,"Mean: 0.0568, Std Dev: 0.0401","Mean: 0.0414, Std Dev: 0.0082","Mean: 0.0401, Std Dev: 0.0018","Mean: 0.1734, Std Dev: 0.0882","Mean: 0.0972, Std Dev: 0.0294","Mean: 0.0843, Std Dev: 0.0137","Mean: 0.2956, Std Dev: 0.1043","Mean: 0.1651, Std Dev: 0.0491","Mean: 0.1359, Std Dev: 0.0272"
25_1.0_2_1,"Mean: 0.0578, Std Dev: 0.0388","Mean: 0.0415, Std Dev: 0.0079","Mean: 0.04, Std Dev: 0.0013","Mean: 0.1748, Std Dev: 0.0906","Mean: 0.0957, Std Dev: 0.0285","Mean: 0.0838, Std Dev: 0.0133","Mean: 0.2942, Std Dev: 0.1035","Mean: 0.1696, Std Dev: 0.0519","Mean: 0.1362, Std Dev: 0.0284"
25_1.0_2_2,"Mean: 0.0573, Std Dev: 0.038","Mean: 0.0412, Std Dev: 0.0074","Mean: 0.04, Std Dev: 0.0","Mean: 0.1735, Std Dev: 0.0895","Mean: 0.0971, Std Dev: 0.0304","Mean: 0.0837, Std Dev: 0.0139","Mean: 0.3017, Std Dev: 0.1056","Mean: 0.1682, Std Dev: 0.0516","Mean: 0.1374, Std Dev: 0.0297"
25_1.0_2_3,"Mean: 0.0562, Std Dev: 0.0397","Mean: 0.0415, Std Dev: 0.0082","Mean: 0.0401, Std Dev: 0.0022","Mean: 0.1733, Std Dev: 0.0895","Mean: 0.0971, Std Dev: 0.0303","Mean: 0.0845, Std Dev: 0.0139","Mean: 0.3037, Std Dev: 0.1051","Mean: 0.1678, Std Dev: 0.0514","Mean: 0.1362, Std Dev: 0.0277"
25_1.0_3_1,"Mean: 0.0567, Std Dev: 0.0385","Mean: 0.0412, Std Dev: 0.0078","Mean: 0.0402, Std Dev: 0.0025","Mean: 0.1692, Std Dev: 0.0869","Mean: 0.096, Std Dev: 0.0286","Mean: 0.0838, Std Dev: 0.0132","Mean: 0.2988, Std Dev: 0.1059","Mean: 0.1664, Std Dev: 0.0508","Mean: 0.1359, Std Dev: 0.0285"
25_1.0_3_2,"Mean: 0.0565, Std Dev: 0.0388","Mean: 0.0414, Std Dev: 0.0079","Mean: 0.0401, Std Dev: 0.0018","Mean: 0.1771, Std Dev: 0.0907","Mean: 0.0974, Std Dev: 0.0312","Mean: 0.0838, Std Dev: 0.0124","Mean: 0.2943, Std Dev: 0.1043","Mean: 0.1677, Std Dev: 0.0523","Mean: 0.1363, Std Dev: 0.0281"
25_1.0_3_3,"Mean: 0.0576, Std Dev: 0.0402","Mean: 0.0415, Std Dev: 0.0083","Mean: 0.04, Std Dev: 0.0013","Mean: 0.1775, Std Dev: 0.0919","Mean: 0.097, Std Dev: 0.0302","Mean: 0.084, Std Dev: 0.0132","Mean: 0.3002, Std Dev: 0.1002","Mean: 0.1683, Std Dev: 0.0529","Mean: 0.1356, Std Dev: 0.0272"
