model,a1,a2,a3
10_1.0_1_1,"Mean: 0.4945, Std Dev: 0.1188","Mean: 0.3049, Std Dev: 0.0837","Mean: 0.2011, Std Dev: 0.0816"
10_1.0_1_2,"Mean: 0.4932, Std Dev: 0.1178","Mean: 0.3047, Std Dev: 0.0844","Mean: 0.2011, Std Dev: 0.0816"
10_1.0_1_3,"Mean: 0.4925, Std Dev: 0.1171","Mean: 0.3039, Std Dev: 0.082","Mean: 0.2011, Std Dev: 0.0816"
10_1.0_2_1,"Mean: 0.4949, Std Dev: 0.1175","Mean: 0.3054, Std Dev: 0.0839","Mean: 0.2011, Std Dev: 0.0816"
10_1.0_2_2,"Mean: 0.4944, Std Dev: 0.1202","Mean: 0.304, Std Dev: 0.083","Mean: 0.2011, Std Dev: 0.0816"
10_1.0_2_3,"Mean: 0.4961, Std Dev: 0.1202","Mean: 0.3045, Std Dev: 0.0838","Mean: 0.2011, Std Dev: 0.0816"
10_1.0_3_1,"Mean: 0.491, Std Dev: 0.1183","Mean: 0.3041, Std Dev: 0.0825","Mean: 0.2011, Std Dev: 0.0816"
10_1.0_3_2,"Mean: 0.4973, Std Dev: 0.1207","Mean: 0.3041, Std Dev: 0.0835","Mean: 0.2011, Std Dev: 0.0816"
10_1.0_3_3,"Mean: 0.4971, Std Dev: 0.1193","Mean: 0.3039, Std Dev: 0.083","Mean: 0.2011, Std Dev: 0.0816"
