model,a1,a2,a3
10_1.0_1_1,"Mean: 0.348, Std Dev: 0.1127","Mean: 0.1978, Std Dev: 0.0806","Mean: 0.1978, Std Dev: 0.0806"
10_1.0_1_2,"Mean: 0.3463, Std Dev: 0.111","Mean: 0.1978, Std Dev: 0.0806","Mean: 0.1978, Std Dev: 0.0806"
10_1.0_1_3,"Mean: 0.3447, Std Dev: 0.1153","Mean: 0.1978, Std Dev: 0.0806","Mean: 0.1978, Std Dev: 0.0806"
10_1.0_2_1,"Mean: 0.35, Std Dev: 0.1135","Mean: 0.1978, Std Dev: 0.0806","Mean: 0.1978, Std Dev: 0.0806"
10_1.0_2_2,"Mean: 0.3449, Std Dev: 0.1124","Mean: 0.1978, Std Dev: 0.0806","Mean: 0.1978, Std Dev: 0.0806"
10_1.0_2_3,"Mean: 0.3482, Std Dev: 0.1152","Mean: 0.1978, Std Dev: 0.0806","Mean: 0.1978, Std Dev: 0.0806"
10_1.0_3_1,"Mean: 0.3421, Std Dev: 0.1127","Mean: 0.1978, Std Dev: 0.0806","Mean: 0.1978, Std Dev: 0.0806"
10_1.0_3_2,"Mean: 0.3462, Std Dev: 0.1126","Mean: 0.1978, Std Dev: 0.0806","Mean: 0.1978, Std Dev: 0.0806"
10_1.0_3_3,"Mean: 0.3403, Std Dev: 0.1094","Mean: 0.1978, Std Dev: 0.0806","Mean: 0.1978, Std Dev: 0.0806"
