model,a1,a2,a3
25_1.0_1_1,"Mean: 0.3677, Std Dev: 0.1265","Mean: 0.1853, Std Dev: 0.0522","Mean: 0.1215, Std Dev: 0.0335"
25_1.0_1_2,"Mean: 0.3662, Std Dev: 0.1343","Mean: 0.1868, Std Dev: 0.0545","Mean: 0.1216, Std Dev: 0.0335"
25_1.0_1_3,"Mean: 0.3628, Std Dev: 0.1309","Mean: 0.184, Std Dev: 0.0522","Mean: 0.1216, Std Dev: 0.0338"
25_1.0_2_1,"Mean: 0.354, Std Dev: 0.1191","Mean: 0.1855, Std Dev: 0.0533","Mean: 0.1218, Std Dev: 0.0338"
25_1.0_2_2,"Mean: 0.3672, Std Dev: 0.1323","Mean: 0.1888, Std Dev: 0.0564","Mean: 0.1218, Std Dev: 0.0338"
25_1.0_2_3,"Mean: 0.3606, Std Dev: 0.125","Mean: 0.1842, Std Dev: 0.0518","Mean: 0.1216, Std Dev: 0.0336"
25_1.0_3_1,"Mean: 0.3539, Std Dev: 0.125","Mean: 0.1852, Std Dev: 0.0532","Mean: 0.1214, Std Dev: 0.0336"
25_1.0_3_2,"Mean: 0.3375, Std Dev: 0.1123","Mean: 0.1829, Std Dev: 0.051","Mean: 0.1218, Std Dev: 0.0338"
25_1.0_3_3,"Mean: 0.337, Std Dev: 0.1138","Mean: 0.1826, Std Dev: 0.0515","Mean: 0.1214, Std Dev: 0.0334"
