model,a1,a2,a3
50_1.0_1_1,"Mean: 0.1772, Std Dev: 0.117","Mean: 0.0632, Std Dev: 0.0193","Mean: 0.0406, Std Dev: 0.0163"
50_1.0_1_2,"Mean: 0.1556, Std Dev: 0.0896","Mean: 0.0627, Std Dev: 0.0189","Mean: 0.0406, Std Dev: 0.0163"
50_1.0_1_3,"Mean: 0.1606, Std Dev: 0.0948","Mean: 0.0631, Std Dev: 0.019","Mean: 0.0406, Std Dev: 0.0163"
50_1.0_2_1,"Mean: 0.1614, Std Dev: 0.0999","Mean: 0.0633, Std Dev: 0.0193","Mean: 0.0406, Std Dev: 0.0163"
50_1.0_2_2,"Mean: 0.1644, Std Dev: 0.1059","Mean: 0.063, Std Dev: 0.0191","Mean: 0.0406, Std Dev: 0.0163"
50_1.0_2_3,"Mean: 0.1787, Std Dev: 0.1172","Mean: 0.0629, Std Dev: 0.0186","Mean: 0.0406, Std Dev: 0.0163"
50_1.0_3_1,"Mean: 0.1882, Std Dev: 0.1244","Mean: 0.0647, Std Dev: 0.0219","Mean: 0.0406, Std Dev: 0.0163"
50_1.0_3_2,"Mean: 0.1425, Std Dev: 0.0789","Mean: 0.0624, Std Dev: 0.0186","Mean: 0.0406, Std Dev: 0.0163"
50_1.0_3_3,"Mean: 0.1472, Std Dev: 0.0778","Mean: 0.0628, Std Dev: 0.0187","Mean: 0.0406, Std Dev: 0.0163"
