model,d1_1,d1_2,d1_3,d2_1,d2_2,d2_3,d3_1,d3_2,d3_3
25_1.0_1_1,"Mean: 0.8098, Std Dev: 0.0867","Mean: 0.4257, Std Dev: 0.2349","Mean: 0.1466, Std Dev: 0.1446","Mean: 0.8591, Std Dev: 0.029","Mean: 0.6861, Std Dev: 0.094","Mean: 0.4767, Std Dev: 0.147","Mean: 0.877, Std Dev: 0.0232","Mean: 0.7445, Std Dev: 0.0586","Mean: 0.6044, Std Dev: 0.0957"
25_1.0_1_2,"Mean: 0.8164, Std Dev: 0.0671","Mean: 0.4269, Std Dev: 0.2386","Mean: 0.141, Std Dev: 0.1378","Mean: 0.8599, Std Dev: 0.0285","Mean: 0.6899, Std Dev: 0.095","Mean: 0.4827, Std Dev: 0.1461","Mean: 0.877, Std Dev: 0.0225","Mean: 0.7481, Std Dev: 0.0489","Mean: 0.6078, Std Dev: 0.088"
25_1.0_1_3,"Mean: 0.8145, Std Dev: 0.0734","Mean: 0.4256, Std Dev: 0.2371","Mean: 0.1422, Std Dev: 0.1384","Mean: 0.8592, Std Dev: 0.027","Mean: 0.687, Std Dev: 0.0904","Mean: 0.4782, Std Dev: 0.145","Mean: 0.8764, Std Dev: 0.0226","Mean: 0.7472, Std Dev: 0.0508","Mean: 0.6078, Std Dev: 0.087"
25_1.0_2_1,"Mean: 0.8097, Std Dev: 0.0704","Mean: 0.4195, Std Dev: 0.2356","Mean: 0.1454, Std Dev: 0.1418","Mean: 0.857, Std Dev: 0.0297","Mean: 0.681, Std Dev: 0.0925","Mean: 0.4734, Std Dev: 0.145","Mean: 0.876, Std Dev: 0.0245","Mean: 0.7402, Std Dev: 0.06","Mean: 0.6014, Std Dev: 0.0924"
25_1.0_2_2,"Mean: 0.8152, Std Dev: 0.0682","Mean: 0.4309, Std Dev: 0.2341","Mean: 0.1452, Std Dev: 0.1419","Mean: 0.8614, Std Dev: 0.0282","Mean: 0.689, Std Dev: 0.0875","Mean: 0.4819, Std Dev: 0.1461","Mean: 0.8777, Std Dev: 0.0234","Mean: 0.7474, Std Dev: 0.0545","Mean: 0.6107, Std Dev: 0.0869"
25_1.0_2_3,"Mean: 0.8148, Std Dev: 0.0856","Mean: 0.4281, Std Dev: 0.2396","Mean: 0.1462, Std Dev: 0.1438","Mean: 0.8608, Std Dev: 0.0271","Mean: 0.6922, Std Dev: 0.0867","Mean: 0.4842, Std Dev: 0.1438","Mean: 0.8776, Std Dev: 0.0213","Mean: 0.7492, Std Dev: 0.0518","Mean: 0.6108, Std Dev: 0.0858"
25_1.0_3_1,"Mean: 0.8112, Std Dev: 0.08","Mean: 0.4319, Std Dev: 0.2333","Mean: 0.1448, Std Dev: 0.1431","Mean: 0.8588, Std Dev: 0.028","Mean: 0.6864, Std Dev: 0.0885","Mean: 0.4756, Std Dev: 0.1429","Mean: 0.876, Std Dev: 0.0221","Mean: 0.7438, Std Dev: 0.0566","Mean: 0.6033, Std Dev: 0.0925"
25_1.0_3_2,"Mean: 0.8056, Std Dev: 0.081","Mean: 0.4293, Std Dev: 0.2284","Mean: 0.1449, Std Dev: 0.1396","Mean: 0.8556, Std Dev: 0.0313","Mean: 0.674, Std Dev: 0.0938","Mean: 0.4686, Std Dev: 0.1433","Mean: 0.8748, Std Dev: 0.0256","Mean: 0.7376, Std Dev: 0.0587","Mean: 0.5952, Std Dev: 0.0938"
25_1.0_3_3,"Mean: 0.8126, Std Dev: 0.0718","Mean: 0.4412, Std Dev: 0.2301","Mean: 0.1512, Std Dev: 0.1449","Mean: 0.858, Std Dev: 0.0286","Mean: 0.6865, Std Dev: 0.0892","Mean: 0.4842, Std Dev: 0.1384","Mean: 0.8759, Std Dev: 0.0239","Mean: 0.7395, Std Dev: 0.061","Mean: 0.6002, Std Dev: 0.0934"
