model,d1_1,d1_2,d1_3,d2_1,d2_2,d2_3,d3_1,d3_2,d3_3
10_1.0_1_1,"Mean: 0.7208, Std Dev: 0.0798","Mean: 0.4005, Std Dev: 0.1493","Mean: 0.2111, Std Dev: 0.1018","Mean: 0.7912, Std Dev: 0.0398","Mean: 0.5937, Std Dev: 0.0908","Mean: 0.4609, Std Dev: 0.1104","Mean: 0.8278, Std Dev: 0.0489","Mean: 0.7002, Std Dev: 0.0805","Mean: 0.5983, Std Dev: 0.0841"
10_1.0_1_2,"Mean: 0.7265, Std Dev: 0.0797","Mean: 0.4085, Std Dev: 0.1528","Mean: 0.2116, Std Dev: 0.1019","Mean: 0.7908, Std Dev: 0.0419","Mean: 0.596, Std Dev: 0.0886","Mean: 0.461, Std Dev: 0.1103","Mean: 0.8282, Std Dev: 0.0482","Mean: 0.7009, Std Dev: 0.0791","Mean: 0.5983, Std Dev: 0.0841"
10_1.0_1_3,"Mean: 0.7237, Std Dev: 0.0766","Mean: 0.4073, Std Dev: 0.1508","Mean: 0.2134, Std Dev: 0.103","Mean: 0.7895, Std Dev: 0.0441","Mean: 0.5952, Std Dev: 0.0907","Mean: 0.4612, Std Dev: 0.1101","Mean: 0.828, Std Dev: 0.0486","Mean: 0.7005, Std Dev: 0.0799","Mean: 0.5983, Std Dev: 0.0841"
10_1.0_2_1,"Mean: 0.7249, Std Dev: 0.0733","Mean: 0.4129, Std Dev: 0.1498","Mean: 0.2129, Std Dev: 0.1027","Mean: 0.7909, Std Dev: 0.0399","Mean: 0.5963, Std Dev: 0.0886","Mean: 0.4615, Std Dev: 0.1098","Mean: 0.8281, Std Dev: 0.0484","Mean: 0.7003, Std Dev: 0.0802","Mean: 0.5983, Std Dev: 0.0841"
10_1.0_2_2,"Mean: 0.7236, Std Dev: 0.078","Mean: 0.4122, Std Dev: 0.1518","Mean: 0.2149, Std Dev: 0.1048","Mean: 0.7917, Std Dev: 0.0415","Mean: 0.5983, Std Dev: 0.0869","Mean: 0.4616, Std Dev: 0.1097","Mean: 0.8284, Std Dev: 0.0479","Mean: 0.701, Std Dev: 0.0788","Mean: 0.5983, Std Dev: 0.0841"
10_1.0_2_3,"Mean: 0.7234, Std Dev: 0.0768","Mean: 0.4078, Std Dev: 0.1513","Mean: 0.2127, Std Dev: 0.1029","Mean: 0.7908, Std Dev: 0.0431","Mean: 0.5981, Std Dev: 0.0875","Mean: 0.4613, Std Dev: 0.11","Mean: 0.8283, Std Dev: 0.0481","Mean: 0.7006, Std Dev: 0.0797","Mean: 0.5983, Std Dev: 0.0841"
10_1.0_3_1,"Mean: 0.7215, Std Dev: 0.0821","Mean: 0.411, Std Dev: 0.1486","Mean: 0.2142, Std Dev: 0.1039","Mean: 0.7891, Std Dev: 0.0444","Mean: 0.5944, Std Dev: 0.0899","Mean: 0.4612, Std Dev: 0.1101","Mean: 0.8273, Std Dev: 0.0497","Mean: 0.7, Std Dev: 0.0808","Mean: 0.5983, Std Dev: 0.0841"
10_1.0_3_2,"Mean: 0.7256, Std Dev: 0.0811","Mean: 0.407, Std Dev: 0.1525","Mean: 0.2144, Std Dev: 0.1038","Mean: 0.7903, Std Dev: 0.0433","Mean: 0.5959, Std Dev: 0.0891","Mean: 0.4612, Std Dev: 0.1101","Mean: 0.8281, Std Dev: 0.0484","Mean: 0.7002, Std Dev: 0.0805","Mean: 0.5983, Std Dev: 0.0841"
10_1.0_3_3,"Mean: 0.7235, Std Dev: 0.0772","Mean: 0.4068, Std Dev: 0.1538","Mean: 0.213, Std Dev: 0.1033","Mean: 0.7891, Std Dev: 0.0449","Mean: 0.5951, Std Dev: 0.0895","Mean: 0.4613, Std Dev: 0.11","Mean: 0.8278, Std Dev: 0.0489","Mean: 0.7006, Std Dev: 0.0798","Mean: 0.5983, Std Dev: 0.0841"
