model,d1_1,d1_2,d1_3,d2_1,d2_2,d2_3,d3_1,d3_2,d3_3
50_1.0_1_1,"Mean: 0.8838, Std Dev: 0.0579","Mean: 0.5292, Std Dev: 0.3132","Mean: 0.1609, Std Dev: 0.2174","Mean: 0.9091, Std Dev: 0.014","Mean: 0.7962, Std Dev: 0.0549","Mean: 0.6154, Std Dev: 0.1599","Mean: 0.9182, Std Dev: 0.0125","Mean: 0.8273, Std Dev: 0.0273","Mean: 0.7183, Std Dev: 0.0636"
50_1.0_1_2,"Mean: 0.883, Std Dev: 0.0636","Mean: 0.5407, Std Dev: 0.3098","Mean: 0.1594, Std Dev: 0.2202","Mean: 0.9091, Std Dev: 0.0144","Mean: 0.7956, Std Dev: 0.0614","Mean: 0.6163, Std Dev: 0.1552","Mean: 0.9183, Std Dev: 0.0123","Mean: 0.8279, Std Dev: 0.0283","Mean: 0.719, Std Dev: 0.0648"
50_1.0_1_3,"Mean: 0.8819, Std Dev: 0.0722","Mean: 0.5385, Std Dev: 0.3119","Mean: 0.1659, Std Dev: 0.2258","Mean: 0.9099, Std Dev: 0.0135","Mean: 0.7979, Std Dev: 0.0614","Mean: 0.6193, Std Dev: 0.1586","Mean: 0.9193, Std Dev: 0.0114","Mean: 0.831, Std Dev: 0.0256","Mean: 0.724, Std Dev: 0.0577"
50_1.0_2_1,"Mean: 0.8814, Std Dev: 0.0711","Mean: 0.4994, Std Dev: 0.3188","Mean: 0.1389, Std Dev: 0.2015","Mean: 0.9089, Std Dev: 0.0145","Mean: 0.7921, Std Dev: 0.0698","Mean: 0.5967, Std Dev: 0.1746","Mean: 0.9176, Std Dev: 0.0121","Mean: 0.8259, Std Dev: 0.0291","Mean: 0.7108, Std Dev: 0.0691"
50_1.0_2_2,"Mean: 0.8832, Std Dev: 0.0739","Mean: 0.5389, Std Dev: 0.3183","Mean: 0.1639, Std Dev: 0.2257","Mean: 0.9109, Std Dev: 0.0128","Mean: 0.8028, Std Dev: 0.0593","Mean: 0.6347, Std Dev: 0.1574","Mean: 0.9201, Std Dev: 0.011","Mean: 0.8332, Std Dev: 0.0266","Mean: 0.7329, Std Dev: 0.0578"
50_1.0_2_3,"Mean: 0.8811, Std Dev: 0.0733","Mean: 0.534, Std Dev: 0.3142","Mean: 0.1529, Std Dev: 0.2172","Mean: 0.9093, Std Dev: 0.0136","Mean: 0.7973, Std Dev: 0.0544","Mean: 0.6091, Std Dev: 0.1666","Mean: 0.9183, Std Dev: 0.0119","Mean: 0.8259, Std Dev: 0.0277","Mean: 0.7139, Std Dev: 0.0691"
50_1.0_3_1,"Mean: 0.8778, Std Dev: 0.0823","Mean: 0.5422, Std Dev: 0.3011","Mean: 0.1565, Std Dev: 0.2157","Mean: 0.9073, Std Dev: 0.0158","Mean: 0.7894, Std Dev: 0.0613","Mean: 0.6057, Std Dev: 0.1569","Mean: 0.9177, Std Dev: 0.0124","Mean: 0.8237, Std Dev: 0.0302","Mean: 0.7123, Std Dev: 0.0617"
50_1.0_3_2,"Mean: 0.8793, Std Dev: 0.0736","Mean: 0.487, Std Dev: 0.3171","Mean: 0.1318, Std Dev: 0.1936","Mean: 0.9086, Std Dev: 0.0146","Mean: 0.788, Std Dev: 0.0731","Mean: 0.5794, Std Dev: 0.1806","Mean: 0.9177, Std Dev: 0.0125","Mean: 0.825, Std Dev: 0.0317","Mean: 0.7095, Std Dev: 0.0757"
50_1.0_3_3,"Mean: 0.8861, Std Dev: 0.0575","Mean: 0.5547, Std Dev: 0.3076","Mean: 0.1762, Std Dev: 0.2308","Mean: 0.9108, Std Dev: 0.013","Mean: 0.8028, Std Dev: 0.0484","Mean: 0.633, Std Dev: 0.1516","Mean: 0.9199, Std Dev: 0.011","Mean: 0.8311, Std Dev: 0.0261","Mean: 0.7272, Std Dev: 0.0611"
