model,a1,a2,a3
25_1.0_1_1,"Mean: 0.2535, Std Dev: 0.1075","Mean: 0.1223, Std Dev: 0.0353","Mean: 0.0797, Std Dev: 0.0327"
25_1.0_1_2,"Mean: 0.2603, Std Dev: 0.1084","Mean: 0.1223, Std Dev: 0.0354","Mean: 0.0797, Std Dev: 0.0327"
25_1.0_1_3,"Mean: 0.2686, Std Dev: 0.1208","Mean: 0.1238, Std Dev: 0.0372","Mean: 0.0797, Std Dev: 0.0327"
25_1.0_2_1,"Mean: 0.2801, Std Dev: 0.1221","Mean: 0.1247, Std Dev: 0.0372","Mean: 0.0797, Std Dev: 0.0327"
25_1.0_2_2,"Mean: 0.2646, Std Dev: 0.1128","Mean: 0.1236, Std Dev: 0.0373","Mean: 0.0797, Std Dev: 0.0327"
25_1.0_2_3,"Mean: 0.2762, Std Dev: 0.1172","Mean: 0.1239, Std Dev: 0.0366","Mean: 0.0797, Std Dev: 0.0327"
25_1.0_3_1,"Mean: 0.2888, Std Dev: 0.131","Mean: 0.1252, Std Dev: 0.0389","Mean: 0.0797, Std Dev: 0.0327"
25_1.0_3_2,"Mean: 0.2736, Std Dev: 0.117","Mean: 0.1243, Std Dev: 0.0379","Mean: 0.0797, Std Dev: 0.0327"
25_1.0_3_3,"Mean: 0.2579, Std Dev: 0.1104","Mean: 0.1226, Std Dev: 0.0354","Mean: 0.0797, Std Dev: 0.0327"
