model,a1,a2,a3
10_1.0_1_1,"Mean: 0.4999, Std Dev: 0.1191","Mean: 0.3047, Std Dev: 0.0835","Mean: 0.2011, Std Dev: 0.0816"
10_1.0_1_2,"Mean: 0.4945, Std Dev: 0.1206","Mean: 0.3043, Std Dev: 0.0837","Mean: 0.2011, Std Dev: 0.0816"
10_1.0_1_3,"Mean: 0.4886, Std Dev: 0.1203","Mean: 0.3034, Std Dev: 0.0835","Mean: 0.2011, Std Dev: 0.0816"
10_1.0_2_1,"Mean: 0.4969, Std Dev: 0.1181","Mean: 0.3042, Std Dev: 0.0834","Mean: 0.2011, Std Dev: 0.0816"
10_1.0_2_2,"Mean: 0.4944, Std Dev: 0.1203","Mean: 0.3037, Std Dev: 0.082","Mean: 0.2011, Std Dev: 0.0816"
10_1.0_2_3,"Mean: 0.4947, Std Dev: 0.1181","Mean: 0.3047, Std Dev: 0.0847","Mean: 0.2011, Std Dev: 0.0816"
10_1.0_3_1,"Mean: 0.5018, Std Dev: 0.1192","Mean: 0.3046, Std Dev: 0.0827","Mean: 0.2011, Std Dev: 0.0816"
10_1.0_3_2,"Mean: 0.4948, Std Dev: 0.1188","Mean: 0.3043, Std Dev: 0.0833","Mean: 0.2011, Std Dev: 0.0816"
10_1.0_3_3,"Mean: 0.4931, Std Dev: 0.1183","Mean: 0.3034, Std Dev: 0.0827","Mean: 0.2011, Std Dev: 0.0816"
