model,d1_1,d1_2,d1_3,d2_1,d2_2,d2_3,d3_1,d3_2,d3_3
25_1.0_1_1,"Mean: 0.8128, Std Dev: 0.066","Mean: 0.4261, Std Dev: 0.233","Mean: 0.1456, Std Dev: 0.1413","Mean: 0.8598, Std Dev: 0.0296","Mean: 0.6864, Std Dev: 0.0945","Mean: 0.4792, Std Dev: 0.1436","Mean: 0.8764, Std Dev: 0.0235","Mean: 0.746, Std Dev: 0.0541","Mean: 0.6047, Std Dev: 0.0906"
25_1.0_1_2,"Mean: 0.8183, Std Dev: 0.0641","Mean: 0.437, Std Dev: 0.2334","Mean: 0.146, Std Dev: 0.142","Mean: 0.8608, Std Dev: 0.0255","Mean: 0.6934, Std Dev: 0.0856","Mean: 0.4893, Std Dev: 0.1421","Mean: 0.8783, Std Dev: 0.0205","Mean: 0.75, Std Dev: 0.0493","Mean: 0.6132, Std Dev: 0.0853"
25_1.0_1_3,"Mean: 0.8159, Std Dev: 0.0582","Mean: 0.4345, Std Dev: 0.2362","Mean: 0.1462, Std Dev: 0.142","Mean: 0.8589, Std Dev: 0.0279","Mean: 0.6889, Std Dev: 0.087","Mean: 0.483, Std Dev: 0.1432","Mean: 0.8764, Std Dev: 0.024","Mean: 0.7463, Std Dev: 0.0539","Mean: 0.6095, Std Dev: 0.0866"
25_1.0_2_1,"Mean: 0.8158, Std Dev: 0.0659","Mean: 0.4464, Std Dev: 0.232","Mean: 0.1497, Std Dev: 0.1455","Mean: 0.8594, Std Dev: 0.0267","Mean: 0.6927, Std Dev: 0.0844","Mean: 0.4882, Std Dev: 0.1431","Mean: 0.8755, Std Dev: 0.0238","Mean: 0.7442, Std Dev: 0.0544","Mean: 0.6057, Std Dev: 0.0878"
25_1.0_2_2,"Mean: 0.8184, Std Dev: 0.0609","Mean: 0.4541, Std Dev: 0.2321","Mean: 0.1573, Std Dev: 0.1547","Mean: 0.8618, Std Dev: 0.0262","Mean: 0.6988, Std Dev: 0.0804","Mean: 0.4982, Std Dev: 0.1394","Mean: 0.8777, Std Dev: 0.0215","Mean: 0.7501, Std Dev: 0.0475","Mean: 0.6125, Std Dev: 0.0858"
25_1.0_2_3,"Mean: 0.8072, Std Dev: 0.0775","Mean: 0.4171, Std Dev: 0.2332","Mean: 0.1385, Std Dev: 0.1345","Mean: 0.8561, Std Dev: 0.0305","Mean: 0.6832, Std Dev: 0.0913","Mean: 0.4708, Std Dev: 0.143","Mean: 0.8745, Std Dev: 0.0244","Mean: 0.741, Std Dev: 0.0544","Mean: 0.5992, Std Dev: 0.0904"
25_1.0_3_1,"Mean: 0.8133, Std Dev: 0.0668","Mean: 0.4218, Std Dev: 0.2378","Mean: 0.1436, Std Dev: 0.1412","Mean: 0.86, Std Dev: 0.0276","Mean: 0.6851, Std Dev: 0.1","Mean: 0.4794, Std Dev: 0.1488","Mean: 0.8772, Std Dev: 0.0219","Mean: 0.7499, Std Dev: 0.0519","Mean: 0.611, Std Dev: 0.0891"
25_1.0_3_2,"Mean: 0.8056, Std Dev: 0.0792","Mean: 0.4163, Std Dev: 0.2306","Mean: 0.1428, Std Dev: 0.1353","Mean: 0.8538, Std Dev: 0.0324","Mean: 0.6739, Std Dev: 0.0941","Mean: 0.4683, Std Dev: 0.1433","Mean: 0.8743, Std Dev: 0.0251","Mean: 0.739, Std Dev: 0.056","Mean: 0.6008, Std Dev: 0.0885"
25_1.0_3_3,"Mean: 0.8076, Std Dev: 0.0777","Mean: 0.41, Std Dev: 0.2282","Mean: 0.1446, Std Dev: 0.1383","Mean: 0.8572, Std Dev: 0.0292","Mean: 0.6702, Std Dev: 0.1002","Mean: 0.4614, Std Dev: 0.1446","Mean: 0.8749, Std Dev: 0.0234","Mean: 0.738, Std Dev: 0.0578","Mean: 0.5992, Std Dev: 0.0927"
