model,d1_1,d1_2,d1_3,d2_1,d2_2,d2_3,d3_1,d3_2,d3_3
50_1.0_1_1,"Mean: 0.8859, Std Dev: 0.0505","Mean: 0.5572, Std Dev: 0.3052","Mean: 0.1645, Std Dev: 0.2253","Mean: 0.9088, Std Dev: 0.0143","Mean: 0.7964, Std Dev: 0.056","Mean: 0.6214, Std Dev: 0.1525","Mean: 0.9178, Std Dev: 0.0124","Mean: 0.8261, Std Dev: 0.028","Mean: 0.7164, Std Dev: 0.0637"
50_1.0_1_2,"Mean: 0.886, Std Dev: 0.0434","Mean: 0.5436, Std Dev: 0.3091","Mean: 0.1606, Std Dev: 0.2215","Mean: 0.9098, Std Dev: 0.0138","Mean: 0.7968, Std Dev: 0.053","Mean: 0.6182, Std Dev: 0.1583","Mean: 0.9192, Std Dev: 0.0113","Mean: 0.8291, Std Dev: 0.0276","Mean: 0.722, Std Dev: 0.0589"
50_1.0_1_3,"Mean: 0.8851, Std Dev: 0.0575","Mean: 0.5611, Std Dev: 0.3","Mean: 0.1673, Std Dev: 0.2254","Mean: 0.9097, Std Dev: 0.0133","Mean: 0.7986, Std Dev: 0.045","Mean: 0.6199, Std Dev: 0.1548","Mean: 0.9185, Std Dev: 0.0117","Mean: 0.8283, Std Dev: 0.0268","Mean: 0.7217, Std Dev: 0.0568"
50_1.0_2_1,"Mean: 0.8851, Std Dev: 0.0513","Mean: 0.5441, Std Dev: 0.31","Mean: 0.1636, Std Dev: 0.2272","Mean: 0.9102, Std Dev: 0.0128","Mean: 0.7988, Std Dev: 0.0582","Mean: 0.6195, Std Dev: 0.1625","Mean: 0.9192, Std Dev: 0.0113","Mean: 0.83, Std Dev: 0.0252","Mean: 0.7221, Std Dev: 0.0675"
50_1.0_2_2,"Mean: 0.8827, Std Dev: 0.0514","Mean: 0.5285, Std Dev: 0.3104","Mean: 0.1594, Std Dev: 0.22","Mean: 0.908, Std Dev: 0.0156","Mean: 0.7922, Std Dev: 0.0572","Mean: 0.6049, Std Dev: 0.1607","Mean: 0.9175, Std Dev: 0.013","Mean: 0.824, Std Dev: 0.0291","Mean: 0.7109, Std Dev: 0.0702"
50_1.0_2_3,"Mean: 0.8844, Std Dev: 0.0508","Mean: 0.5418, Std Dev: 0.3087","Mean: 0.1684, Std Dev: 0.2258","Mean: 0.9087, Std Dev: 0.0143","Mean: 0.7943, Std Dev: 0.0565","Mean: 0.6134, Std Dev: 0.1594","Mean: 0.9182, Std Dev: 0.012","Mean: 0.8267, Std Dev: 0.0277","Mean: 0.7165, Std Dev: 0.0663"
50_1.0_3_1,"Mean: 0.8863, Std Dev: 0.043","Mean: 0.548, Std Dev: 0.3087","Mean: 0.1699, Std Dev: 0.2275","Mean: 0.9091, Std Dev: 0.0145","Mean: 0.7952, Std Dev: 0.0542","Mean: 0.6119, Std Dev: 0.1624","Mean: 0.9179, Std Dev: 0.0123","Mean: 0.8259, Std Dev: 0.0292","Mean: 0.7117, Std Dev: 0.0647"
50_1.0_3_2,"Mean: 0.8847, Std Dev: 0.051","Mean: 0.5455, Std Dev: 0.3034","Mean: 0.1599, Std Dev: 0.2182","Mean: 0.9081, Std Dev: 0.0144","Mean: 0.7937, Std Dev: 0.0602","Mean: 0.6102, Std Dev: 0.1594","Mean: 0.9171, Std Dev: 0.0125","Mean: 0.8242, Std Dev: 0.0295","Mean: 0.7091, Std Dev: 0.075"
50_1.0_3_3,"Mean: 0.8828, Std Dev: 0.0618","Mean: 0.5164, Std Dev: 0.3173","Mean: 0.1505, Std Dev: 0.2141","Mean: 0.9097, Std Dev: 0.0138","Mean: 0.7963, Std Dev: 0.0575","Mean: 0.6109, Std Dev: 0.1655","Mean: 0.9184, Std Dev: 0.0121","Mean: 0.8277, Std Dev: 0.0274","Mean: 0.7197, Std Dev: 0.0666"
