model,d1_1,d1_2,d1_3,d2_1,d2_2,d2_3,d3_1,d3_2,d3_3
10_1.0_1_1,"Mean: 0.136, Std Dev: 0.0682","Mean: 0.1032, Std Dev: 0.0187","Mean: 0.1002, Std Dev: 0.0045","Mean: 0.3, Std Dev: 0.0925","Mean: 0.2175, Std Dev: 0.0411","Mean: 0.2028, Std Dev: 0.0165","Mean: 0.4215, Std Dev: 0.0895","Mean: 0.3252, Std Dev: 0.0468","Mean: 0.3043, Std Dev: 0.0203"
10_1.0_1_2,"Mean: 0.134, Std Dev: 0.0635","Mean: 0.1037, Std Dev: 0.0194","Mean: 0.1, Std Dev: 0.0","Mean: 0.2923, Std Dev: 0.0894","Mean: 0.2162, Std Dev: 0.0385","Mean: 0.202, Std Dev: 0.014","Mean: 0.4196, Std Dev: 0.0886","Mean: 0.3264, Std Dev: 0.0465","Mean: 0.3037, Std Dev: 0.0189"
10_1.0_1_3,"Mean: 0.1337, Std Dev: 0.0648","Mean: 0.1032, Std Dev: 0.0176","Mean: 0.1001, Std Dev: 0.0032","Mean: 0.2927, Std Dev: 0.0919","Mean: 0.2162, Std Dev: 0.0407","Mean: 0.2025, Std Dev: 0.0156","Mean: 0.4202, Std Dev: 0.0875","Mean: 0.3257, Std Dev: 0.0475","Mean: 0.3037, Std Dev: 0.0189"
10_1.0_2_1,"Mean: 0.1369, Std Dev: 0.0678","Mean: 0.1038, Std Dev: 0.0196","Mean: 0.1001, Std Dev: 0.0032","Mean: 0.2936, Std Dev: 0.0915","Mean: 0.2175, Std Dev: 0.0406","Mean: 0.2026, Std Dev: 0.0159","Mean: 0.4167, Std Dev: 0.0872","Mean: 0.3239, Std Dev: 0.045","Mean: 0.3034, Std Dev: 0.0181"
10_1.0_2_2,"Mean: 0.1372, Std Dev: 0.0677","Mean: 0.1038, Std Dev: 0.0196","Mean: 0.1002, Std Dev: 0.0045","Mean: 0.2955, Std Dev: 0.0903","Mean: 0.2163, Std Dev: 0.0401","Mean: 0.2024, Std Dev: 0.016","Mean: 0.4202, Std Dev: 0.0875","Mean: 0.3282, Std Dev: 0.0478","Mean: 0.3035, Std Dev: 0.0184"
10_1.0_2_3,"Mean: 0.1365, Std Dev: 0.0663","Mean: 0.1037, Std Dev: 0.0194","Mean: 0.1, Std Dev: 0.0","Mean: 0.2919, Std Dev: 0.0919","Mean: 0.2182, Std Dev: 0.0423","Mean: 0.2028, Std Dev: 0.0171","Mean: 0.418, Std Dev: 0.09","Mean: 0.3241, Std Dev: 0.0451","Mean: 0.3042, Std Dev: 0.0201"
10_1.0_3_1,"Mean: 0.1364, Std Dev: 0.0684","Mean: 0.1025, Std Dev: 0.0162","Mean: 0.1001, Std Dev: 0.0032","Mean: 0.2989, Std Dev: 0.0916","Mean: 0.2171, Std Dev: 0.0407","Mean: 0.2027, Std Dev: 0.0168","Mean: 0.4193, Std Dev: 0.0888","Mean: 0.3271, Std Dev: 0.0481","Mean: 0.3045, Std Dev: 0.0207"
10_1.0_3_2,"Mean: 0.1352, Std Dev: 0.0645","Mean: 0.103, Std Dev: 0.0176","Mean: 0.1, Std Dev: 0.0","Mean: 0.2964, Std Dev: 0.0921","Mean: 0.2186, Std Dev: 0.0431","Mean: 0.2024, Std Dev: 0.0153","Mean: 0.4225, Std Dev: 0.084","Mean: 0.3295, Std Dev: 0.0504","Mean: 0.3049, Std Dev: 0.0216"
10_1.0_3_3,"Mean: 0.1331, Std Dev: 0.065","Mean: 0.1031, Std Dev: 0.0173","Mean: 0.1001, Std Dev: 0.0032","Mean: 0.2925, Std Dev: 0.0916","Mean: 0.2183, Std Dev: 0.0417","Mean: 0.2018, Std Dev: 0.0133","Mean: 0.4167, Std Dev: 0.0872","Mean: 0.3266, Std Dev: 0.0477","Mean: 0.3039, Std Dev: 0.0194"
