model,a1,a2,a3
10_1.0_1_1,"Mean: 0.2077, Std Dev: 0.0855","Mean: 0.2015, Std Dev: 0.0817","Mean: 0.2011, Std Dev: 0.0816"
10_1.0_1_2,"Mean: 0.2078, Std Dev: 0.0856","Mean: 0.2013, Std Dev: 0.0818","Mean: 0.2011, Std Dev: 0.0816"
10_1.0_1_3,"Mean: 0.2097, Std Dev: 0.0869","Mean: 0.2018, Std Dev: 0.0822","Mean: 0.2011, Std Dev: 0.0816"
10_1.0_2_1,"Mean: 0.2092, Std Dev: 0.0858","Mean: 0.2017, Std Dev: 0.0819","Mean: 0.2011, Std Dev: 0.0816"
10_1.0_2_2,"Mean: 0.2083, Std Dev: 0.0865","Mean: 0.2016, Std Dev: 0.0816","Mean: 0.2011, Std Dev: 0.0816"
10_1.0_2_3,"Mean: 0.2087, Std Dev: 0.0863","Mean: 0.2017, Std Dev: 0.0823","Mean: 0.2011, Std Dev: 0.0816"
10_1.0_3_1,"Mean: 0.2092, Std Dev: 0.0856","Mean: 0.2015, Std Dev: 0.0819","Mean: 0.2011, Std Dev: 0.0816"
10_1.0_3_2,"Mean: 0.2086, Std Dev: 0.0862","Mean: 0.2017, Std Dev: 0.0821","Mean: 0.2011, Std Dev: 0.0816"
10_1.0_3_3,"Mean: 0.2087, Std Dev: 0.0864","Mean: 0.2016, Std Dev: 0.0815","Mean: 0.2011, Std Dev: 0.0816"
