model,a1,a2,a3
50_1.0_1_1,"Mean: 0.0421, Std Dev: 0.0174","Mean: 0.0407, Std Dev: 0.0164","Mean: 0.0406, Std Dev: 0.0163"
50_1.0_1_2,"Mean: 0.0426, Std Dev: 0.0177","Mean: 0.0407, Std Dev: 0.0164","Mean: 0.0406, Std Dev: 0.0163"
50_1.0_1_3,"Mean: 0.0425, Std Dev: 0.0172","Mean: 0.0407, Std Dev: 0.0163","Mean: 0.0406, Std Dev: 0.0163"
50_1.0_2_1,"Mean: 0.0423, Std Dev: 0.0174","Mean: 0.0407, Std Dev: 0.0163","Mean: 0.0406, Std Dev: 0.0163"
50_1.0_2_2,"Mean: 0.0423, Std Dev: 0.0176","Mean: 0.0407, Std Dev: 0.0164","Mean: 0.0406, Std Dev: 0.0163"
50_1.0_2_3,"Mean: 0.0425, Std Dev: 0.0179","Mean: 0.0407, Std Dev: 0.0164","Mean: 0.0406, Std Dev: 0.0163"
50_1.0_3_1,"Mean: 0.0426, Std Dev: 0.0181","Mean: 0.0407, Std Dev: 0.0163","Mean: 0.0406, Std Dev: 0.0163"
50_1.0_3_2,"Mean: 0.0421, Std Dev: 0.0174","Mean: 0.0407, Std Dev: 0.0164","Mean: 0.0406, Std Dev: 0.0163"
50_1.0_3_3,"Mean: 0.0423, Std Dev: 0.017","Mean: 0.0407, Std Dev: 0.0163","Mean: 0.0406, Std Dev: 0.0163"
