model,d1_1,d1_2,d1_3,d2_1,d2_2,d2_3,d3_1,d3_2,d3_3
50_1.0_1_1,"Mean: 0.8854, Std Dev: 0.056","Mean: 0.5425, Std Dev: 0.3121","Mean: 0.1742, Std Dev: 0.2321","Mean: 0.9095, Std Dev: 0.0138","Mean: 0.7994, Std Dev: 0.0539","Mean: 0.6296, Std Dev: 0.1499","Mean: 0.9186, Std Dev: 0.0116","Mean: 0.8286, Std Dev: 0.0264","Mean: 0.7213, Std Dev: 0.0601"
50_1.0_1_2,"Mean: 0.8817, Std Dev: 0.0681","Mean: 0.5422, Std Dev: 0.3082","Mean: 0.1708, Std Dev: 0.2283","Mean: 0.9079, Std Dev: 0.0147","Mean: 0.794, Std Dev: 0.0513","Mean: 0.6163, Std Dev: 0.1572","Mean: 0.9176, Std Dev: 0.0124","Mean: 0.8257, Std Dev: 0.0265","Mean: 0.7166, Std Dev: 0.0615"
50_1.0_1_3,"Mean: 0.8807, Std Dev: 0.0635","Mean: 0.531, Std Dev: 0.3081","Mean: 0.1531, Std Dev: 0.214","Mean: 0.9075, Std Dev: 0.0152","Mean: 0.7889, Std Dev: 0.0626","Mean: 0.6005, Std Dev: 0.161","Mean: 0.9166, Std Dev: 0.0132","Mean: 0.822, Std Dev: 0.0306","Mean: 0.7094, Std Dev: 0.0635"
50_1.0_2_1,"Mean: 0.8844, Std Dev: 0.0569","Mean: 0.5488, Std Dev: 0.3055","Mean: 0.1646, Std Dev: 0.221","Mean: 0.9075, Std Dev: 0.0151","Mean: 0.7928, Std Dev: 0.0504","Mean: 0.6081, Std Dev: 0.1574","Mean: 0.9173, Std Dev: 0.0122","Mean: 0.8244, Std Dev: 0.028","Mean: 0.713, Std Dev: 0.0641"
50_1.0_2_2,"Mean: 0.8819, Std Dev: 0.0681","Mean: 0.5524, Std Dev: 0.3058","Mean: 0.1738, Std Dev: 0.2328","Mean: 0.9082, Std Dev: 0.0151","Mean: 0.7956, Std Dev: 0.0556","Mean: 0.6222, Std Dev: 0.1552","Mean: 0.9177, Std Dev: 0.012","Mean: 0.8257, Std Dev: 0.0291","Mean: 0.7199, Std Dev: 0.0562"
50_1.0_2_3,"Mean: 0.8835, Std Dev: 0.0571","Mean: 0.5471, Std Dev: 0.3069","Mean: 0.1754, Std Dev: 0.2296","Mean: 0.9082, Std Dev: 0.0148","Mean: 0.7938, Std Dev: 0.052","Mean: 0.6182, Std Dev: 0.1578","Mean: 0.9167, Std Dev: 0.0129","Mean: 0.8238, Std Dev: 0.0285","Mean: 0.7142, Std Dev: 0.0655"
50_1.0_3_1,"Mean: 0.8849, Std Dev: 0.0437","Mean: 0.5488, Std Dev: 0.3021","Mean: 0.1605, Std Dev: 0.2203","Mean: 0.9081, Std Dev: 0.0153","Mean: 0.7926, Std Dev: 0.0561","Mean: 0.6068, Std Dev: 0.165","Mean: 0.9168, Std Dev: 0.0124","Mean: 0.8227, Std Dev: 0.0303","Mean: 0.7078, Std Dev: 0.0762"
50_1.0_3_2,"Mean: 0.8843, Std Dev: 0.0504","Mean: 0.5308, Std Dev: 0.3145","Mean: 0.1659, Std Dev: 0.2276","Mean: 0.908, Std Dev: 0.0145","Mean: 0.7955, Std Dev: 0.0526","Mean: 0.6154, Std Dev: 0.1571","Mean: 0.9175, Std Dev: 0.0118","Mean: 0.8255, Std Dev: 0.0268","Mean: 0.7176, Std Dev: 0.0638"
50_1.0_3_3,"Mean: 0.8831, Std Dev: 0.0635","Mean: 0.5468, Std Dev: 0.3056","Mean: 0.1601, Std Dev: 0.2206","Mean: 0.9086, Std Dev: 0.0155","Mean: 0.7964, Std Dev: 0.0543","Mean: 0.6233, Std Dev: 0.1529","Mean: 0.9178, Std Dev: 0.0124","Mean: 0.8261, Std Dev: 0.0274","Mean: 0.718, Std Dev: 0.0586"
