model,a1,a2,a3
25_1.0_1_1,"Mean: 0.083, Std Dev: 0.0353","Mean: 0.0798, Std Dev: 0.0327","Mean: 0.0797, Std Dev: 0.0327"
25_1.0_1_2,"Mean: 0.0829, Std Dev: 0.0348","Mean: 0.0799, Std Dev: 0.0329","Mean: 0.0797, Std Dev: 0.0327"
25_1.0_1_3,"Mean: 0.0827, Std Dev: 0.0346","Mean: 0.0799, Std Dev: 0.0328","Mean: 0.0797, Std Dev: 0.0327"
25_1.0_2_1,"Mean: 0.0834, Std Dev: 0.0355","Mean: 0.08, Std Dev: 0.0329","Mean: 0.0797, Std Dev: 0.0327"
25_1.0_2_2,"Mean: 0.083, Std Dev: 0.0343","Mean: 0.0798, Std Dev: 0.0327","Mean: 0.0797, Std Dev: 0.0327"
25_1.0_2_3,"Mean: 0.0826, Std Dev: 0.0345","Mean: 0.0798, Std Dev: 0.0327","Mean: 0.0797, Std Dev: 0.0327"
25_1.0_3_1,"Mean: 0.083, Std Dev: 0.0347","Mean: 0.0799, Std Dev: 0.0329","Mean: 0.0797, Std Dev: 0.0327"
25_1.0_3_2,"Mean: 0.083, Std Dev: 0.0347","Mean: 0.0799, Std Dev: 0.0328","Mean: 0.0797, Std Dev: 0.0327"
25_1.0_3_3,"Mean: 0.0835, Std Dev: 0.0349","Mean: 0.0798, Std Dev: 0.0328","Mean: 0.0797, Std Dev: 0.0327"
