model,d1_1,d1_2,d1_3,d2_1,d2_2,d2_3,d3_1,d3_2,d3_3
50_1.0_1_1,"Mean: 0.0304, Std Dev: 0.028","Mean: 0.0208, Std Dev: 0.0047","Mean: 0.0201, Std Dev: 0.0014","Mean: 0.1244, Std Dev: 0.0946","Mean: 0.0527, Std Dev: 0.0213","Mean: 0.0433, Std Dev: 0.009","Mean: 0.2365, Std Dev: 0.1198","Mean: 0.1003, Std Dev: 0.0427","Mean: 0.073, Std Dev: 0.0194"
50_1.0_1_2,"Mean: 0.032, Std Dev: 0.0323","Mean: 0.0208, Std Dev: 0.004","Mean: 0.02, Std Dev: 0.0","Mean: 0.1286, Std Dev: 0.0986","Mean: 0.0519, Std Dev: 0.0201","Mean: 0.0433, Std Dev: 0.0093","Mean: 0.2427, Std Dev: 0.1242","Mean: 0.1003, Std Dev: 0.0432","Mean: 0.0733, Std Dev: 0.0196"
50_1.0_1_3,"Mean: 0.0301, Std Dev: 0.026","Mean: 0.0208, Std Dev: 0.0044","Mean: 0.0201, Std Dev: 0.0011","Mean: 0.1249, Std Dev: 0.0928","Mean: 0.0524, Std Dev: 0.0214","Mean: 0.0433, Std Dev: 0.0094","Mean: 0.2365, Std Dev: 0.123","Mean: 0.1002, Std Dev: 0.0431","Mean: 0.0735, Std Dev: 0.0217"
50_1.0_2_1,"Mean: 0.0306, Std Dev: 0.0289","Mean: 0.0208, Std Dev: 0.0042","Mean: 0.02, Std Dev: 0.0009","Mean: 0.1259, Std Dev: 0.0936","Mean: 0.0533, Std Dev: 0.0225","Mean: 0.0433, Std Dev: 0.0095","Mean: 0.2351, Std Dev: 0.1205","Mean: 0.0991, Std Dev: 0.0433","Mean: 0.0736, Std Dev: 0.0218"
50_1.0_2_2,"Mean: 0.0319, Std Dev: 0.0308","Mean: 0.0207, Std Dev: 0.0046","Mean: 0.0201, Std Dev: 0.0011","Mean: 0.1303, Std Dev: 0.0976","Mean: 0.0531, Std Dev: 0.0218","Mean: 0.0432, Std Dev: 0.0088","Mean: 0.2382, Std Dev: 0.123","Mean: 0.1003, Std Dev: 0.0448","Mean: 0.073, Std Dev: 0.0196"
50_1.0_2_3,"Mean: 0.0309, Std Dev: 0.029","Mean: 0.0206, Std Dev: 0.0038","Mean: 0.0201, Std Dev: 0.0013","Mean: 0.1245, Std Dev: 0.09","Mean: 0.0531, Std Dev: 0.0219","Mean: 0.0434, Std Dev: 0.0095","Mean: 0.2346, Std Dev: 0.1198","Mean: 0.099, Std Dev: 0.0428","Mean: 0.0731, Std Dev: 0.0207"
50_1.0_3_1,"Mean: 0.0324, Std Dev: 0.0331","Mean: 0.0209, Std Dev: 0.0049","Mean: 0.02, Std Dev: 0.0009","Mean: 0.1298, Std Dev: 0.0969","Mean: 0.0536, Std Dev: 0.0235","Mean: 0.0434, Std Dev: 0.0087","Mean: 0.239, Std Dev: 0.1226","Mean: 0.0989, Std Dev: 0.0408","Mean: 0.0735, Std Dev: 0.0203"
50_1.0_3_2,"Mean: 0.0313, Std Dev: 0.0293","Mean: 0.0207, Std Dev: 0.0039","Mean: 0.02, Std Dev: 0.0","Mean: 0.1244, Std Dev: 0.0932","Mean: 0.0522, Std Dev: 0.0213","Mean: 0.0432, Std Dev: 0.0088","Mean: 0.2325, Std Dev: 0.1191","Mean: 0.0994, Std Dev: 0.0416","Mean: 0.0729, Std Dev: 0.0206"
50_1.0_3_3,"Mean: 0.0314, Std Dev: 0.0288","Mean: 0.0208, Std Dev: 0.0042","Mean: 0.02, Std Dev: 0.0009","Mean: 0.1253, Std Dev: 0.0963","Mean: 0.0519, Std Dev: 0.0191","Mean: 0.0428, Std Dev: 0.0079","Mean: 0.239, Std Dev: 0.1213","Mean: 0.0987, Std Dev: 0.0423","Mean: 0.0727, Std Dev: 0.0204"
