model,d1_1,d1_2,d1_3,d2_1,d2_2,d2_3,d3_1,d3_2,d3_3
25_1.0_1_1,"Mean: 0.0568, Std Dev: 0.0376","Mean: 0.0412, Std Dev: 0.0075","Mean: 0.0402, Std Dev: 0.0031","Mean: 0.1732, Std Dev: 0.0881","Mean: 0.0966, Std Dev: 0.0307","Mean: 0.0842, Std Dev: 0.0142","Mean: 0.2979, Std Dev: 0.1029","Mean: 0.1664, Std Dev: 0.0505","Mean: 0.1352, Std Dev: 0.0275"
25_1.0_1_2,"Mean: 0.0564, Std Dev: 0.0348","Mean: 0.0413, Std Dev: 0.0077","Mean: 0.0401, Std Dev: 0.0022","Mean: 0.1754, Std Dev: 0.0901","Mean: 0.0973, Std Dev: 0.0303","Mean: 0.0841, Std Dev: 0.0132","Mean: 0.3012, Std Dev: 0.1024","Mean: 0.168, Std Dev: 0.0519","Mean: 0.1367, Std Dev: 0.0283"
25_1.0_1_3,"Mean: 0.0569, Std Dev: 0.0395","Mean: 0.0418, Std Dev: 0.0095","Mean: 0.0401, Std Dev: 0.0018","Mean: 0.1737, Std Dev: 0.0918","Mean: 0.0964, Std Dev: 0.0296","Mean: 0.0842, Std Dev: 0.0137","Mean: 0.2983, Std Dev: 0.1044","Mean: 0.1693, Std Dev: 0.0514","Mean: 0.1374, Std Dev: 0.0292"
25_1.0_2_1,"Mean: 0.056, Std Dev: 0.0357","Mean: 0.0413, Std Dev: 0.008","Mean: 0.0402, Std Dev: 0.0025","Mean: 0.1754, Std Dev: 0.0897","Mean: 0.0967, Std Dev: 0.0294","Mean: 0.0835, Std Dev: 0.0122","Mean: 0.2984, Std Dev: 0.1043","Mean: 0.168, Std Dev: 0.0515","Mean: 0.1367, Std Dev: 0.0279"
25_1.0_2_2,"Mean: 0.0566, Std Dev: 0.0379","Mean: 0.0415, Std Dev: 0.0081","Mean: 0.0401, Std Dev: 0.0018","Mean: 0.1738, Std Dev: 0.0903","Mean: 0.0966, Std Dev: 0.0289","Mean: 0.084, Std Dev: 0.013","Mean: 0.2973, Std Dev: 0.1073","Mean: 0.169, Std Dev: 0.0506","Mean: 0.1368, Std Dev: 0.0291"
25_1.0_2_3,"Mean: 0.0564, Std Dev: 0.0374","Mean: 0.0414, Std Dev: 0.0076","Mean: 0.0401, Std Dev: 0.0018","Mean: 0.1722, Std Dev: 0.0885","Mean: 0.0959, Std Dev: 0.0277","Mean: 0.0841, Std Dev: 0.0143","Mean: 0.2952, Std Dev: 0.105","Mean: 0.1681, Std Dev: 0.052","Mean: 0.1357, Std Dev: 0.0271"
25_1.0_3_1,"Mean: 0.0576, Std Dev: 0.04","Mean: 0.0414, Std Dev: 0.0082","Mean: 0.0401, Std Dev: 0.0018","Mean: 0.1722, Std Dev: 0.0904","Mean: 0.0962, Std Dev: 0.0278","Mean: 0.0839, Std Dev: 0.0131","Mean: 0.2962, Std Dev: 0.1047","Mean: 0.1672, Std Dev: 0.0511","Mean: 0.1368, Std Dev: 0.0289"
25_1.0_3_2,"Mean: 0.0574, Std Dev: 0.0385","Mean: 0.0412, Std Dev: 0.0082","Mean: 0.0401, Std Dev: 0.0018","Mean: 0.1725, Std Dev: 0.0872","Mean: 0.0962, Std Dev: 0.0299","Mean: 0.0838, Std Dev: 0.0132","Mean: 0.2944, Std Dev: 0.1026","Mean: 0.1676, Std Dev: 0.0504","Mean: 0.1364, Std Dev: 0.0271"
25_1.0_3_3,"Mean: 0.0562, Std Dev: 0.0361","Mean: 0.0416, Std Dev: 0.0082","Mean: 0.0402, Std Dev: 0.0031","Mean: 0.1774, Std Dev: 0.092","Mean: 0.0969, Std Dev: 0.0294","Mean: 0.0835, Std Dev: 0.0124","Mean: 0.2995, Std Dev: 0.1077","Mean: 0.1689, Std Dev: 0.0529","Mean: 0.1371, Std Dev: 0.0292"
