model,d1_1,d1_2,d1_3,d2_1,d2_2,d2_3,d3_1,d3_2,d3_3
25_1.0_1_1,"Mean: 0.0563, Std Dev: 0.0362","Mean: 0.0412, Std Dev: 0.0078","Mean: 0.0401, Std Dev: 0.0018","Mean: 0.1734, Std Dev: 0.0905","Mean: 0.0962, Std Dev: 0.0294","Mean: 0.084, Std Dev: 0.0132","Mean: 0.2944, Std Dev: 0.1007","Mean: 0.1662, Std Dev: 0.0485","Mean: 0.137, Std Dev: 0.0285"
25_1.0_1_2,"Mean: 0.0568, Std Dev: 0.0373","Mean: 0.0412, Std Dev: 0.0073","Mean: 0.0402, Std Dev: 0.0025","Mean: 0.1718, Std Dev: 0.0905","Mean: 0.0962, Std Dev: 0.0284","Mean: 0.0839, Std Dev: 0.0132","Mean: 0.2975, Std Dev: 0.1039","Mean: 0.1692, Std Dev: 0.0517","Mean: 0.138, Std Dev: 0.0291"
25_1.0_1_3,"Mean: 0.0577, Std Dev: 0.0393","Mean: 0.0414, Std Dev: 0.0078","Mean: 0.0401, Std Dev: 0.0018","Mean: 0.1764, Std Dev: 0.0903","Mean: 0.0962, Std Dev: 0.0282","Mean: 0.0839, Std Dev: 0.0128","Mean: 0.298, Std Dev: 0.1024","Mean: 0.1692, Std Dev: 0.0516","Mean: 0.136, Std Dev: 0.0268"
25_1.0_2_1,"Mean: 0.0588, Std Dev: 0.041","Mean: 0.0414, Std Dev: 0.0079","Mean: 0.0402, Std Dev: 0.0025","Mean: 0.1746, Std Dev: 0.0887","Mean: 0.0964, Std Dev: 0.0292","Mean: 0.0837, Std Dev: 0.0124","Mean: 0.2984, Std Dev: 0.1022","Mean: 0.1689, Std Dev: 0.0518","Mean: 0.1374, Std Dev: 0.0292"
25_1.0_2_2,"Mean: 0.0582, Std Dev: 0.0407","Mean: 0.0416, Std Dev: 0.0089","Mean: 0.0402, Std Dev: 0.0028","Mean: 0.1729, Std Dev: 0.0919","Mean: 0.0962, Std Dev: 0.0285","Mean: 0.0843, Std Dev: 0.0135","Mean: 0.2976, Std Dev: 0.1043","Mean: 0.1693, Std Dev: 0.0507","Mean: 0.1368, Std Dev: 0.0278"
25_1.0_2_3,"Mean: 0.0571, Std Dev: 0.0376","Mean: 0.0414, Std Dev: 0.0077","Mean: 0.0402, Std Dev: 0.0025","Mean: 0.1751, Std Dev: 0.0901","Mean: 0.096, Std Dev: 0.0295","Mean: 0.0836, Std Dev: 0.0124","Mean: 0.295, Std Dev: 0.1052","Mean: 0.1681, Std Dev: 0.0509","Mean: 0.1378, Std Dev: 0.0289"
25_1.0_3_1,"Mean: 0.0569, Std Dev: 0.0398","Mean: 0.0414, Std Dev: 0.008","Mean: 0.0402, Std Dev: 0.0025","Mean: 0.1722, Std Dev: 0.0884","Mean: 0.0968, Std Dev: 0.0291","Mean: 0.0838, Std Dev: 0.0132","Mean: 0.2988, Std Dev: 0.1054","Mean: 0.1674, Std Dev: 0.0507","Mean: 0.1362, Std Dev: 0.0282"
25_1.0_3_2,"Mean: 0.0569, Std Dev: 0.0378","Mean: 0.0414, Std Dev: 0.0079","Mean: 0.0401, Std Dev: 0.0018","Mean: 0.173, Std Dev: 0.0889","Mean: 0.0977, Std Dev: 0.0302","Mean: 0.0841, Std Dev: 0.0126","Mean: 0.2939, Std Dev: 0.1055","Mean: 0.1668, Std Dev: 0.0497","Mean: 0.1362, Std Dev: 0.028"
25_1.0_3_3,"Mean: 0.0571, Std Dev: 0.0379","Mean: 0.0417, Std Dev: 0.0088","Mean: 0.04, Std Dev: 0.0","Mean: 0.1717, Std Dev: 0.0875","Mean: 0.0965, Std Dev: 0.0301","Mean: 0.0836, Std Dev: 0.0124","Mean: 0.2969, Std Dev: 0.1047","Mean: 0.1681, Std Dev: 0.0504","Mean: 0.1384, Std Dev: 0.0291"
