model,d1_1,d1_2,d1_3,d2_1,d2_2,d2_3,d3_1,d3_2,d3_3
10_1.0_1_1,"Mean: 0.132, Std Dev: 0.0637","Mean: 0.1024, Std Dev: 0.0153","Mean: 0.1001, Std Dev: 0.0032","Mean: 0.2924, Std Dev: 0.0923","Mean: 0.2154, Std Dev: 0.039","Mean: 0.2022, Std Dev: 0.0147","Mean: 0.4178, Std Dev: 0.0907","Mean: 0.3238, Std Dev: 0.0466","Mean: 0.3028, Std Dev: 0.0165"
10_1.0_1_2,"Mean: 0.1313, Std Dev: 0.0649","Mean: 0.1023, Std Dev: 0.015","Mean: 0.1002, Std Dev: 0.0045","Mean: 0.2933, Std Dev: 0.0925","Mean: 0.2157, Std Dev: 0.0411","Mean: 0.2021, Std Dev: 0.0143","Mean: 0.4156, Std Dev: 0.0882","Mean: 0.325, Std Dev: 0.0462","Mean: 0.3032, Std Dev: 0.0176"
10_1.0_1_3,"Mean: 0.1351, Std Dev: 0.0656","Mean: 0.1031, Std Dev: 0.0173","Mean: 0.1, Std Dev: 0.0","Mean: 0.2894, Std Dev: 0.091","Mean: 0.2162, Std Dev: 0.0397","Mean: 0.202, Std Dev: 0.014","Mean: 0.4136, Std Dev: 0.0886","Mean: 0.3246, Std Dev: 0.0471","Mean: 0.3034, Std Dev: 0.0181"
10_1.0_2_1,"Mean: 0.1332, Std Dev: 0.0645","Mean: 0.1032, Std Dev: 0.0182","Mean: 0.1001, Std Dev: 0.0032","Mean: 0.2949, Std Dev: 0.0923","Mean: 0.2153, Std Dev: 0.0384","Mean: 0.2019, Std Dev: 0.0137","Mean: 0.4185, Std Dev: 0.0893","Mean: 0.3252, Std Dev: 0.0472","Mean: 0.3032, Std Dev: 0.0176"
10_1.0_2_2,"Mean: 0.1323, Std Dev: 0.064","Mean: 0.1032, Std Dev: 0.0176","Mean: 0.1001, Std Dev: 0.0032","Mean: 0.2913, Std Dev: 0.0905","Mean: 0.215, Std Dev: 0.0384","Mean: 0.2018, Std Dev: 0.0133","Mean: 0.4162, Std Dev: 0.089","Mean: 0.3242, Std Dev: 0.0467","Mean: 0.3025, Std Dev: 0.0156"
10_1.0_2_3,"Mean: 0.1363, Std Dev: 0.0687","Mean: 0.1032, Std Dev: 0.0182","Mean: 0.1, Std Dev: 0.0","Mean: 0.294, Std Dev: 0.0924","Mean: 0.2168, Std Dev: 0.0415","Mean: 0.202, Std Dev: 0.014","Mean: 0.4211, Std Dev: 0.0878","Mean: 0.3267, Std Dev: 0.0486","Mean: 0.3039, Std Dev: 0.0194"
10_1.0_3_1,"Mean: 0.132, Std Dev: 0.0636","Mean: 0.1029, Std Dev: 0.0179","Mean: 0.1001, Std Dev: 0.0032","Mean: 0.289, Std Dev: 0.0899","Mean: 0.2157, Std Dev: 0.0396","Mean: 0.2014, Std Dev: 0.0118","Mean: 0.4132, Std Dev: 0.0884","Mean: 0.3232, Std Dev: 0.0459","Mean: 0.3034, Std Dev: 0.0181"
10_1.0_3_2,"Mean: 0.1327, Std Dev: 0.0645","Mean: 0.1028, Std Dev: 0.0165","Mean: 0.1001, Std Dev: 0.0032","Mean: 0.2924, Std Dev: 0.092","Mean: 0.2159, Std Dev: 0.04","Mean: 0.2019, Std Dev: 0.0137","Mean: 0.4164, Std Dev: 0.0898","Mean: 0.3248, Std Dev: 0.0468","Mean: 0.303, Std Dev: 0.0171"
10_1.0_3_3,"Mean: 0.1322, Std Dev: 0.0639","Mean: 0.1028, Std Dev: 0.0165","Mean: 0.1001, Std Dev: 0.0032","Mean: 0.2924, Std Dev: 0.0919","Mean: 0.216, Std Dev: 0.0401","Mean: 0.2019, Std Dev: 0.0137","Mean: 0.4167, Std Dev: 0.0899","Mean: 0.3247, Std Dev: 0.0467","Mean: 0.303, Std Dev: 0.0171"
