model,d1_1,d1_2,d1_3,d2_1,d2_2,d2_3,d3_1,d3_2,d3_3
10_1.0_1_1,"Mean: 0.7242, Std Dev: 0.0782","Mean: 0.406, Std Dev: 0.1521","Mean: 0.2117, Std Dev: 0.1015","Mean: 0.7919, Std Dev: 0.0396","Mean: 0.5972, Std Dev: 0.0889","Mean: 0.4613, Std Dev: 0.11","Mean: 0.828, Std Dev: 0.0486","Mean: 0.7006, Std Dev: 0.0798","Mean: 0.5983, Std Dev: 0.0841"
10_1.0_1_2,"Mean: 0.7277, Std Dev: 0.0761","Mean: 0.4131, Std Dev: 0.1521","Mean: 0.2139, Std Dev: 0.1033","Mean: 0.7919, Std Dev: 0.0385","Mean: 0.5972, Std Dev: 0.0877","Mean: 0.4616, Std Dev: 0.1097","Mean: 0.8285, Std Dev: 0.0477","Mean: 0.7002, Std Dev: 0.0804","Mean: 0.5983, Std Dev: 0.0841"
10_1.0_1_3,"Mean: 0.7243, Std Dev: 0.0765","Mean: 0.4074, Std Dev: 0.1526","Mean: 0.2118, Std Dev: 0.1025","Mean: 0.7912, Std Dev: 0.0395","Mean: 0.5974, Std Dev: 0.0879","Mean: 0.4614, Std Dev: 0.1099","Mean: 0.8286, Std Dev: 0.0476","Mean: 0.701, Std Dev: 0.0789","Mean: 0.5983, Std Dev: 0.0841"
10_1.0_2_1,"Mean: 0.7213, Std Dev: 0.081","Mean: 0.4057, Std Dev: 0.1501","Mean: 0.2109, Std Dev: 0.1019","Mean: 0.792, Std Dev: 0.0384","Mean: 0.5966, Std Dev: 0.0892","Mean: 0.4614, Std Dev: 0.1099","Mean: 0.8277, Std Dev: 0.049","Mean: 0.7004, Std Dev: 0.0802","Mean: 0.5983, Std Dev: 0.0841"
10_1.0_2_2,"Mean: 0.7255, Std Dev: 0.0726","Mean: 0.4074, Std Dev: 0.1513","Mean: 0.2116, Std Dev: 0.1014","Mean: 0.7911, Std Dev: 0.0397","Mean: 0.597, Std Dev: 0.0877","Mean: 0.4613, Std Dev: 0.11","Mean: 0.8276, Std Dev: 0.0492","Mean: 0.7004, Std Dev: 0.0802","Mean: 0.5983, Std Dev: 0.0841"
10_1.0_2_3,"Mean: 0.7239, Std Dev: 0.078","Mean: 0.41, Std Dev: 0.1511","Mean: 0.2113, Std Dev: 0.1013","Mean: 0.7905, Std Dev: 0.04","Mean: 0.5947, Std Dev: 0.0898","Mean: 0.4612, Std Dev: 0.1101","Mean: 0.828, Std Dev: 0.0486","Mean: 0.7005, Std Dev: 0.08","Mean: 0.5983, Std Dev: 0.0841"
10_1.0_3_1,"Mean: 0.723, Std Dev: 0.0785","Mean: 0.4006, Std Dev: 0.1519","Mean: 0.2105, Std Dev: 0.1009","Mean: 0.7884, Std Dev: 0.0452","Mean: 0.5945, Std Dev: 0.0913","Mean: 0.4611, Std Dev: 0.1102","Mean: 0.8273, Std Dev: 0.0497","Mean: 0.7001, Std Dev: 0.0807","Mean: 0.5983, Std Dev: 0.0841"
10_1.0_3_2,"Mean: 0.7263, Std Dev: 0.0731","Mean: 0.4065, Std Dev: 0.1509","Mean: 0.2109, Std Dev: 0.1011","Mean: 0.7902, Std Dev: 0.0425","Mean: 0.5952, Std Dev: 0.0903","Mean: 0.4611, Std Dev: 0.1102","Mean: 0.8278, Std Dev: 0.0489","Mean: 0.7004, Std Dev: 0.0802","Mean: 0.5983, Std Dev: 0.0841"
10_1.0_3_3,"Mean: 0.7272, Std Dev: 0.0769","Mean: 0.4097, Std Dev: 0.1503","Mean: 0.2103, Std Dev: 0.0999","Mean: 0.7898, Std Dev: 0.0417","Mean: 0.5954, Std Dev: 0.0889","Mean: 0.4611, Std Dev: 0.1102","Mean: 0.8284, Std Dev: 0.0479","Mean: 0.7003, Std Dev: 0.0804","Mean: 0.5983, Std Dev: 0.0841"
