model,d1_1,d1_2,d1_3,d2_1,d2_2,d2_3,d3_1,d3_2,d3_3
50_1.0_1_1,"Mean: 0.8841, Std Dev: 0.0625","Mean: 0.5383, Std Dev: 0.3101","Mean: 0.1659, Std Dev: 0.2228","Mean: 0.9085, Std Dev: 0.014","Mean: 0.7946, Std Dev: 0.0595","Mean: 0.6153, Std Dev: 0.1602","Mean: 0.918, Std Dev: 0.0123","Mean: 0.826, Std Dev: 0.028","Mean: 0.72, Std Dev: 0.0596"
50_1.0_1_2,"Mean: 0.8839, Std Dev: 0.0578","Mean: 0.5498, Std Dev: 0.3067","Mean: 0.1741, Std Dev: 0.2289","Mean: 0.9079, Std Dev: 0.0146","Mean: 0.794, Std Dev: 0.0422","Mean: 0.6183, Std Dev: 0.1506","Mean: 0.9169, Std Dev: 0.013","Mean: 0.8243, Std Dev: 0.0288","Mean: 0.7132, Std Dev: 0.0615"
50_1.0_1_3,"Mean: 0.8812, Std Dev: 0.0512","Mean: 0.5203, Std Dev: 0.3091","Mean: 0.1494, Std Dev: 0.2108","Mean: 0.9072, Std Dev: 0.0152","Mean: 0.7872, Std Dev: 0.0623","Mean: 0.6023, Std Dev: 0.1578","Mean: 0.9156, Std Dev: 0.0139","Mean: 0.8191, Std Dev: 0.0315","Mean: 0.7059, Std Dev: 0.0655"
50_1.0_2_1,"Mean: 0.8813, Std Dev: 0.0626","Mean: 0.5216, Std Dev: 0.3135","Mean: 0.1541, Std Dev: 0.2141","Mean: 0.9078, Std Dev: 0.0151","Mean: 0.7909, Std Dev: 0.0657","Mean: 0.6084, Std Dev: 0.1573","Mean: 0.9162, Std Dev: 0.0137","Mean: 0.822, Std Dev: 0.0304","Mean: 0.7113, Std Dev: 0.0633"
50_1.0_2_2,"Mean: 0.8814, Std Dev: 0.0737","Mean: 0.5421, Std Dev: 0.3055","Mean: 0.1613, Std Dev: 0.2245","Mean: 0.9093, Std Dev: 0.014","Mean: 0.7963, Std Dev: 0.0546","Mean: 0.6202, Std Dev: 0.1556","Mean: 0.9179, Std Dev: 0.0119","Mean: 0.828, Std Dev: 0.027","Mean: 0.7206, Std Dev: 0.0635"
50_1.0_2_3,"Mean: 0.8829, Std Dev: 0.0637","Mean: 0.5398, Std Dev: 0.3112","Mean: 0.1703, Std Dev: 0.2303","Mean: 0.9092, Std Dev: 0.0144","Mean: 0.7973, Std Dev: 0.0523","Mean: 0.624, Std Dev: 0.1529","Mean: 0.9181, Std Dev: 0.0124","Mean: 0.8271, Std Dev: 0.0279","Mean: 0.7222, Std Dev: 0.0579"
50_1.0_3_1,"Mean: 0.8835, Std Dev: 0.0517","Mean: 0.5324, Std Dev: 0.3056","Mean: 0.1545, Std Dev: 0.2148","Mean: 0.9072, Std Dev: 0.0157","Mean: 0.7915, Std Dev: 0.062","Mean: 0.6092, Std Dev: 0.1585","Mean: 0.9169, Std Dev: 0.0131","Mean: 0.8232, Std Dev: 0.0299","Mean: 0.7139, Std Dev: 0.0643"
50_1.0_3_2,"Mean: 0.8806, Std Dev: 0.0636","Mean: 0.5378, Std Dev: 0.3062","Mean: 0.1575, Std Dev: 0.217","Mean: 0.908, Std Dev: 0.0154","Mean: 0.7909, Std Dev: 0.0596","Mean: 0.6078, Std Dev: 0.1587","Mean: 0.9175, Std Dev: 0.0125","Mean: 0.8231, Std Dev: 0.0295","Mean: 0.7093, Std Dev: 0.0688"
50_1.0_3_3,"Mean: 0.8832, Std Dev: 0.0577","Mean: 0.5524, Std Dev: 0.3076","Mean: 0.1716, Std Dev: 0.2323","Mean: 0.908, Std Dev: 0.0149","Mean: 0.7963, Std Dev: 0.0495","Mean: 0.6197, Std Dev: 0.156","Mean: 0.9176, Std Dev: 0.012","Mean: 0.8247, Std Dev: 0.0293","Mean: 0.7171, Std Dev: 0.0624"
