model,a1,a2,a3
25_1.0_1_1,"Mean: 0.092, Std Dev: 0.0392","Mean: 0.0815, Std Dev: 0.0334","Mean: 0.0813, Std Dev: 0.0333"
25_1.0_1_2,"Mean: 0.092, Std Dev: 0.0388","Mean: 0.0815, Std Dev: 0.0334","Mean: 0.0814, Std Dev: 0.0334"
25_1.0_1_3,"Mean: 0.0923, Std Dev: 0.0389","Mean: 0.0815, Std Dev: 0.0335","Mean: 0.0813, Std Dev: 0.0334"
25_1.0_2_1,"Mean: 0.0924, Std Dev: 0.0388","Mean: 0.0816, Std Dev: 0.0336","Mean: 0.0814, Std Dev: 0.0336"
25_1.0_2_2,"Mean: 0.0928, Std Dev: 0.0397","Mean: 0.0814, Std Dev: 0.0334","Mean: 0.0813, Std Dev: 0.0334"
25_1.0_2_3,"Mean: 0.0917, Std Dev: 0.0389","Mean: 0.0816, Std Dev: 0.0336","Mean: 0.0813, Std Dev: 0.0333"
25_1.0_3_1,"Mean: 0.0914, Std Dev: 0.0382","Mean: 0.0815, Std Dev: 0.0335","Mean: 0.0814, Std Dev: 0.0335"
25_1.0_3_2,"Mean: 0.0916, Std Dev: 0.039","Mean: 0.0815, Std Dev: 0.0335","Mean: 0.0813, Std Dev: 0.0334"
25_1.0_3_3,"Mean: 0.0917, Std Dev: 0.0382","Mean: 0.0814, Std Dev: 0.0335","Mean: 0.0813, Std Dev: 0.0333"
