model,a1,a2,a3
10_1.0_1_1,"Mean: 0.1985, Std Dev: 0.0813","Mean: 0.1978, Std Dev: 0.0806","Mean: 0.1978, Std Dev: 0.0806"
10_1.0_1_2,"Mean: 0.1985, Std Dev: 0.0808","Mean: 0.1978, Std Dev: 0.0806","Mean: 0.1978, Std Dev: 0.0806"
10_1.0_1_3,"Mean: 0.1985, Std Dev: 0.0813","Mean: 0.1978, Std Dev: 0.0806","Mean: 0.1978, Std Dev: 0.0806"
10_1.0_2_1,"Mean: 0.1985, Std Dev: 0.0813","Mean: 0.1978, Std Dev: 0.0806","Mean: 0.1978, Std Dev: 0.0806"
10_1.0_2_2,"Mean: 0.1986, Std Dev: 0.0813","Mean: 0.1978, Std Dev: 0.0806","Mean: 0.1978, Std Dev: 0.0806"
10_1.0_2_3,"Mean: 0.1988, Std Dev: 0.0809","Mean: 0.1978, Std Dev: 0.0806","Mean: 0.1978, Std Dev: 0.0806"
10_1.0_3_1,"Mean: 0.1983, Std Dev: 0.081","Mean: 0.1978, Std Dev: 0.0806","Mean: 0.1978, Std Dev: 0.0806"
10_1.0_3_2,"Mean: 0.1982, Std Dev: 0.0809","Mean: 0.1978, Std Dev: 0.0806","Mean: 0.1978, Std Dev: 0.0806"
10_1.0_3_3,"Mean: 0.1985, Std Dev: 0.0813","Mean: 0.1978, Std Dev: 0.0806","Mean: 0.1978, Std Dev: 0.0806"
