model,a1,a2,a3
10_1.0_1_1,"Mean: 0.3393, Std Dev: 0.1067","Mean: 0.1978, Std Dev: 0.0806","Mean: 0.1978, Std Dev: 0.0806"
10_1.0_1_2,"Mean: 0.3467, Std Dev: 0.1116","Mean: 0.1978, Std Dev: 0.0806","Mean: 0.1978, Std Dev: 0.0806"
10_1.0_1_3,"Mean: 0.3411, Std Dev: 0.1089","Mean: 0.1978, Std Dev: 0.0806","Mean: 0.1978, Std Dev: 0.0806"
10_1.0_2_1,"Mean: 0.3375, Std Dev: 0.1015","Mean: 0.1978, Std Dev: 0.0806","Mean: 0.1978, Std Dev: 0.0806"
10_1.0_2_2,"Mean: 0.3373, Std Dev: 0.1062","Mean: 0.1978, Std Dev: 0.0806","Mean: 0.1978, Std Dev: 0.0806"
10_1.0_2_3,"Mean: 0.3404, Std Dev: 0.1087","Mean: 0.1978, Std Dev: 0.0806","Mean: 0.1978, Std Dev: 0.0806"
10_1.0_3_1,"Mean: 0.3419, Std Dev: 0.1133","Mean: 0.1978, Std Dev: 0.0806","Mean: 0.1978, Std Dev: 0.0806"
10_1.0_3_2,"Mean: 0.3468, Std Dev: 0.1094","Mean: 0.1978, Std Dev: 0.0806","Mean: 0.1978, Std Dev: 0.0806"
10_1.0_3_3,"Mean: 0.3383, Std Dev: 0.1084","Mean: 0.1978, Std Dev: 0.0806","Mean: 0.1978, Std Dev: 0.0806"
