model,a1,a2,a3
25_1.0_1_1,"Mean: 0.331, Std Dev: 0.1129","Mean: 0.1785, Std Dev: 0.0487","Mean: 0.1215, Std Dev: 0.0335"
25_1.0_1_2,"Mean: 0.3522, Std Dev: 0.1266","Mean: 0.182, Std Dev: 0.0511","Mean: 0.1215, Std Dev: 0.0336"
25_1.0_1_3,"Mean: 0.3679, Std Dev: 0.1305","Mean: 0.186, Std Dev: 0.0545","Mean: 0.1214, Std Dev: 0.0335"
25_1.0_2_1,"Mean: 0.3628, Std Dev: 0.1263","Mean: 0.1896, Std Dev: 0.0555","Mean: 0.1217, Std Dev: 0.0333"
25_1.0_2_2,"Mean: 0.3534, Std Dev: 0.1218","Mean: 0.1858, Std Dev: 0.0511","Mean: 0.1216, Std Dev: 0.0335"
25_1.0_2_3,"Mean: 0.3655, Std Dev: 0.1333","Mean: 0.1861, Std Dev: 0.0533","Mean: 0.1216, Std Dev: 0.0335"
25_1.0_3_1,"Mean: 0.3509, Std Dev: 0.1208","Mean: 0.184, Std Dev: 0.0545","Mean: 0.1217, Std Dev: 0.0337"
25_1.0_3_2,"Mean: 0.3492, Std Dev: 0.1175","Mean: 0.1837, Std Dev: 0.0519","Mean: 0.1217, Std Dev: 0.0337"
25_1.0_3_3,"Mean: 0.3312, Std Dev: 0.1128","Mean: 0.178, Std Dev: 0.0484","Mean: 0.1215, Std Dev: 0.0335"
