model,a1,a2,a3
50_1.0_1_1,"Mean: 0.1965, Std Dev: 0.0995","Mean: 0.0901, Std Dev: 0.0275","Mean: 0.0598, Std Dev: 0.0165"
50_1.0_1_2,"Mean: 0.2075, Std Dev: 0.1052","Mean: 0.0928, Std Dev: 0.0303","Mean: 0.0599, Std Dev: 0.0166"
50_1.0_1_3,"Mean: 0.2322, Std Dev: 0.1221","Mean: 0.0965, Std Dev: 0.0343","Mean: 0.06, Std Dev: 0.0166"
50_1.0_2_1,"Mean: 0.2276, Std Dev: 0.123","Mean: 0.0968, Std Dev: 0.0342","Mean: 0.0601, Std Dev: 0.0168"
50_1.0_2_2,"Mean: 0.2006, Std Dev: 0.0951","Mean: 0.0926, Std Dev: 0.0292","Mean: 0.0598, Std Dev: 0.0165"
50_1.0_2_3,"Mean: 0.2377, Std Dev: 0.1197","Mean: 0.0986, Std Dev: 0.0367","Mean: 0.0601, Std Dev: 0.0168"
50_1.0_3_1,"Mean: 0.2037, Std Dev: 0.0999","Mean: 0.0914, Std Dev: 0.0282","Mean: 0.0598, Std Dev: 0.0165"
50_1.0_3_2,"Mean: 0.1994, Std Dev: 0.1019","Mean: 0.0909, Std Dev: 0.0284","Mean: 0.0598, Std Dev: 0.0165"
50_1.0_3_3,"Mean: 0.2114, Std Dev: 0.1064","Mean: 0.0941, Std Dev: 0.0327","Mean: 0.0599, Std Dev: 0.0166"
