model,a1,a2,a3
10_1.0_1_1,"Mean: 0.6125, Std Dev: 0.1067","Mean: 0.415, Std Dev: 0.0846","Mean: 0.3025, Std Dev: 0.0807"
10_1.0_1_2,"Mean: 0.6068, Std Dev: 0.1078","Mean: 0.4128, Std Dev: 0.0842","Mean: 0.3026, Std Dev: 0.0807"
10_1.0_1_3,"Mean: 0.6021, Std Dev: 0.104","Mean: 0.4115, Std Dev: 0.0838","Mean: 0.3026, Std Dev: 0.0807"
10_1.0_2_1,"Mean: 0.5933, Std Dev: 0.1082","Mean: 0.4104, Std Dev: 0.0833","Mean: 0.3025, Std Dev: 0.0807"
10_1.0_2_2,"Mean: 0.5974, Std Dev: 0.1051","Mean: 0.4118, Std Dev: 0.0834","Mean: 0.3025, Std Dev: 0.0807"
10_1.0_2_3,"Mean: 0.6067, Std Dev: 0.1092","Mean: 0.4132, Std Dev: 0.0856","Mean: 0.3025, Std Dev: 0.0807"
10_1.0_3_1,"Mean: 0.6042, Std Dev: 0.1092","Mean: 0.4138, Std Dev: 0.0851","Mean: 0.3026, Std Dev: 0.0806"
10_1.0_3_2,"Mean: 0.597, Std Dev: 0.1087","Mean: 0.4123, Std Dev: 0.0843","Mean: 0.3026, Std Dev: 0.0806"
10_1.0_3_3,"Mean: 0.6114, Std Dev: 0.1097","Mean: 0.4135, Std Dev: 0.0848","Mean: 0.3026, Std Dev: 0.0806"
