model,a1,a2,a3
50_1.0_1_1,"Mean: 0.1436, Std Dev: 0.0799","Mean: 0.0626, Std Dev: 0.0185","Mean: 0.0406, Std Dev: 0.0163"
50_1.0_1_2,"Mean: 0.1446, Std Dev: 0.0839","Mean: 0.0627, Std Dev: 0.0187","Mean: 0.0406, Std Dev: 0.0163"
50_1.0_1_3,"Mean: 0.1637, Std Dev: 0.0949","Mean: 0.0635, Std Dev: 0.0199","Mean: 0.0406, Std Dev: 0.0163"
50_1.0_2_1,"Mean: 0.1523, Std Dev: 0.0892","Mean: 0.0632, Std Dev: 0.0195","Mean: 0.0406, Std Dev: 0.0163"
50_1.0_2_2,"Mean: 0.1428, Std Dev: 0.0794","Mean: 0.0626, Std Dev: 0.0187","Mean: 0.0406, Std Dev: 0.0163"
50_1.0_2_3,"Mean: 0.1633, Std Dev: 0.0984","Mean: 0.0633, Std Dev: 0.0198","Mean: 0.0406, Std Dev: 0.0163"
50_1.0_3_1,"Mean: 0.1457, Std Dev: 0.0807","Mean: 0.0624, Std Dev: 0.0181","Mean: 0.0406, Std Dev: 0.0163"
50_1.0_3_2,"Mean: 0.1419, Std Dev: 0.0794","Mean: 0.0621, Std Dev: 0.0179","Mean: 0.0406, Std Dev: 0.0163"
50_1.0_3_3,"Mean: 0.1503, Std Dev: 0.0839","Mean: 0.063, Std Dev: 0.0188","Mean: 0.0406, Std Dev: 0.0163"
