model,d1_1,d1_2,d1_3,d2_1,d2_2,d2_3,d3_1,d3_2,d3_3
10_1.0_1_1,"Mean: 0.7247, Std Dev: 0.0783","Mean: 0.4057, Std Dev: 0.1529","Mean: 0.2127, Std Dev: 0.1027","Mean: 0.7898, Std Dev: 0.0438","Mean: 0.5946, Std Dev: 0.0912","Mean: 0.4611, Std Dev: 0.1102","Mean: 0.8283, Std Dev: 0.0481","Mean: 0.7005, Std Dev: 0.0799","Mean: 0.5983, Std Dev: 0.0841"
10_1.0_1_2,"Mean: 0.7282, Std Dev: 0.0788","Mean: 0.4123, Std Dev: 0.1542","Mean: 0.2137, Std Dev: 0.1037","Mean: 0.7923, Std Dev: 0.0391","Mean: 0.5976, Std Dev: 0.0889","Mean: 0.4614, Std Dev: 0.1099","Mean: 0.829, Std Dev: 0.0469","Mean: 0.701, Std Dev: 0.0789","Mean: 0.5983, Std Dev: 0.0841"
10_1.0_1_3,"Mean: 0.7293, Std Dev: 0.0797","Mean: 0.4159, Std Dev: 0.1517","Mean: 0.2129, Std Dev: 0.1031","Mean: 0.7917, Std Dev: 0.0417","Mean: 0.5996, Std Dev: 0.0862","Mean: 0.4617, Std Dev: 0.1096","Mean: 0.8289, Std Dev: 0.0471","Mean: 0.7004, Std Dev: 0.08","Mean: 0.5983, Std Dev: 0.0841"
10_1.0_2_1,"Mean: 0.7219, Std Dev: 0.0774","Mean: 0.4027, Std Dev: 0.1533","Mean: 0.2126, Std Dev: 0.1023","Mean: 0.789, Std Dev: 0.0447","Mean: 0.5939, Std Dev: 0.091","Mean: 0.461, Std Dev: 0.1103","Mean: 0.8278, Std Dev: 0.0489","Mean: 0.6998, Std Dev: 0.0812","Mean: 0.5983, Std Dev: 0.0841"
10_1.0_2_2,"Mean: 0.7202, Std Dev: 0.082","Mean: 0.4019, Std Dev: 0.153","Mean: 0.2129, Std Dev: 0.1024","Mean: 0.7899, Std Dev: 0.0435","Mean: 0.5932, Std Dev: 0.0929","Mean: 0.4609, Std Dev: 0.1104","Mean: 0.8279, Std Dev: 0.0487","Mean: 0.7003, Std Dev: 0.0804","Mean: 0.5983, Std Dev: 0.0841"
10_1.0_2_3,"Mean: 0.7266, Std Dev: 0.0773","Mean: 0.407, Std Dev: 0.153","Mean: 0.2117, Std Dev: 0.1021","Mean: 0.791, Std Dev: 0.0427","Mean: 0.5964, Std Dev: 0.0895","Mean: 0.4611, Std Dev: 0.1102","Mean: 0.8287, Std Dev: 0.0474","Mean: 0.701, Std Dev: 0.0789","Mean: 0.5983, Std Dev: 0.0841"
10_1.0_3_1,"Mean: 0.7228, Std Dev: 0.0776","Mean: 0.406, Std Dev: 0.1544","Mean: 0.2126, Std Dev: 0.1027","Mean: 0.787, Std Dev: 0.0466","Mean: 0.5928, Std Dev: 0.0912","Mean: 0.4613, Std Dev: 0.11","Mean: 0.8274, Std Dev: 0.0495","Mean: 0.7001, Std Dev: 0.0806","Mean: 0.5983, Std Dev: 0.0841"
10_1.0_3_2,"Mean: 0.7148, Std Dev: 0.0836","Mean: 0.3942, Std Dev: 0.1512","Mean: 0.2109, Std Dev: 0.1009","Mean: 0.7867, Std Dev: 0.0469","Mean: 0.5916, Std Dev: 0.0928","Mean: 0.461, Std Dev: 0.1103","Mean: 0.8272, Std Dev: 0.0498","Mean: 0.7002, Std Dev: 0.0805","Mean: 0.5983, Std Dev: 0.0841"
10_1.0_3_3,"Mean: 0.7227, Std Dev: 0.0804","Mean: 0.4039, Std Dev: 0.1534","Mean: 0.212, Std Dev: 0.1028","Mean: 0.7891, Std Dev: 0.0453","Mean: 0.5925, Std Dev: 0.0924","Mean: 0.4612, Std Dev: 0.1101","Mean: 0.8281, Std Dev: 0.0484","Mean: 0.7001, Std Dev: 0.0806","Mean: 0.5983, Std Dev: 0.0841"
